,ba_m,cognitive_translate,cognitive_exponent,repetition,run,pearson,euclidean,mape
0,3,0,1,0,0,-0.29282327724025853,323.93656478198807,0.477703120927514
1,3,0,1,0,1,-0.34105109833504965,341.9553496409447,0.5082035874825995
2,3,0,1,0,2,-0.16919632549113017,324.5136997452067,0.4701516922284248
3,3,0,1,0,3,-0.24925651750428432,331.2586774722685,0.4787677837068902
4,3,0,1,0,4,-0.24105681473130247,326.8591317045113,0.4717804353043382
5,3,0,1,0,5,-0.27554044257334953,332.8027535633049,0.48837178713440715
6,3,0,1,0,6,-0.380093598035037,336.5485109765204,0.4985829126051125
7,3,0,1,0,7,-0.08576238805187388,330.52545231899626,0.48762862937268664
8,3,0,1,0,8,-0.24407197202221384,332.4058311655544,0.4813550766097782
9,3,0,1,0,9,-0.22466106562191648,345.37507352039074,0.5045142029230604
10,3,0,1,0,10,-0.2643360354973383,327.1345262290153,0.4762759054343682
11,3,0,1,0,11,-0.18348148248363705,341.66011602881827,0.4968274983655489
12,3,0,1,0,12,-0.168218927603872,340.7027399196013,0.4967033867334079
13,3,0,1,0,13,-0.2736464221801665,340.1138513327763,0.5008882070131934
14,3,0,1,0,14,-0.3176320845036062,342.68347796045936,0.4997740946708226
15,3,0,1,0,15,-0.19832315116185217,349.27418396582954,0.5188368738188248
16,3,0,1,0,16,-0.20199797879015458,341.34554075314287,0.505227906916056
17,3,0,1,0,17,-0.25937320771286826,346.9618547233409,0.5168238627545468
18,3,0,1,0,18,-0.30469017387439373,345.2055684329852,0.5068016230689122
19,3,0,1,0,19,-0.2860094961577559,340.8392720268129,0.4997156878690105
20,3,0,1,0,20,-0.3233324755055463,327.56470794740693,0.477489150102309
21,3,0,1,0,21,-0.2637234206776013,333.9441707958971,0.49057404151310346
22,3,0,1,0,22,-0.22103082052260503,329.1241679946527,0.4730787594042301
23,3,0,1,0,23,-0.3125849045762444,335.4439696145821,0.48834282534958745
24,3,0,1,0,24,-0.20666328202035444,342.1125629932048,0.5042810067971211
25,3,0,1,0,25,-0.14848860304745318,338.9929045733214,0.49639673560708314
26,3,0,1,0,26,-0.27463267064657776,342.9590496172841,0.5032869303712983
27,3,0,1,0,27,-0.21901230436551425,325.7766891693944,0.4832018513025714
28,3,0,1,0,28,-0.23725524668689554,333.39549172103665,0.4800075845491898
29,3,0,1,0,29,-0.2129029302339871,336.42346661705994,0.4926227695058308
30,3,0,1,1,0,-0.3060183726154756,336.30807855948547,0.4966032038384706
31,3,0,1,1,1,-0.18836900142922305,318.7125691368825,0.46281142862690844
32,3,0,1,1,2,-0.26780471308978093,334.13766920535244,0.4887634412215128
33,3,0,1,1,3,-0.2708124222862114,343.22949901623883,0.5048069693818568
