,ba_m,cognitive_translate,cognitive_exponent,repetition,measure,pen_name,data,pearson,euclidean,mape
743,5,0,5,8,opinion-timeseries,rep,"[60.       60.4      60.633335 60.4      60.4      60.133335 60.133335
 60.3      60.7      61.166668 60.666668 60.666668 60.666668 60.666668
 60.666668 60.666668 60.666668 59.833332 59.833332 59.833332 59.5
 59.666668 60.166668 60.1      59.533333 58.6      57.933334 58.4
 58.4      58.6      58.866665 58.8      58.833332 59.       58.833332
 59.033333 59.3      59.4      59.1      58.566666 58.2      58.033333
 58.033333 58.233334 58.466667 58.766666 59.2      59.666668 60.
 60.       60.6      60.6      60.6      60.6      60.9      60.9
 60.9      60.9      60.9      60.9      61.166668 61.333332 60.966667
 60.766666]",-0.18630279803502972,61.63134666763773,0.10946699485082703
1934,15,0,5,7,opinion-timeseries,rep,"[58.       58.466667 58.7      58.1      58.1      57.933334 57.933334
 58.3      58.566666 59.1      58.7      58.7      58.7      58.7
 58.7      58.7      58.7      57.933334 57.933334 57.933334 57.6
 58.       58.666668 58.133335 57.7      56.8      55.766666 56.1
 56.1      56.4      56.633335 56.633335 56.433334 56.666668 56.333332
 56.566666 56.9      57.366665 57.1      56.8      56.466667 56.3
 56.3      56.6      56.733334 57.266666 57.566666 57.833332 58.3
 58.266666 59.033333 59.033333 59.033333 59.033333 59.1      59.1
 59.1      59.1      59.1      59.1      59.366665 59.6      59.266666
 58.766666]",-0.09797923800706876,69.50666874031947,0.12492296058275028
716,5,0,4,9,opinion-timeseries,rep,"[58.       59.9      60.566666 59.733334 59.733334 58.533333 58.533333
 59.033333 59.866665 60.366665 59.2      59.2      59.2      59.2
 59.166668 59.133335 59.133335 57.266666 57.266666 57.266666 56.466667
 57.166668 58.833332 58.233334 56.9      55.366665 54.066666 54.666668
 54.666668 55.3      56.       56.133335 56.       56.866665 56.2
 56.733334 57.133335 57.566666 56.766666 55.733334 54.733334 54.9
 54.9      55.466667 55.866665 57.1      58.       58.866665 59.7
 59.7      60.866665 60.9      60.9      60.9      61.1      61.066666
 61.066666 61.066666 61.066666 61.066666 61.466667 61.9      60.8
 60.2     ]",-0.04884328616378891,69.28935715335473,0.12549898023981637
710,5,0,4,7,opinion-timeseries,rep,"[56.       57.533333 58.366665 57.533333 57.533333 56.4      56.4
 56.8      57.366665 58.033333 57.1      57.1      57.1      57.1
 57.1      57.033333 57.033333 55.166668 55.166668 55.166668 54.833332
 55.466667 56.9      56.4      54.866665 53.6      51.933334 52.833332
 52.833332 53.733334 54.633335 54.6      54.866665 55.666668 55.333332
 55.866665 56.833332 57.366665 56.566666 55.233334 54.366665 54.5
 54.5      55.266666 56.       57.333332 58.4      59.266666 60.4
 60.4      61.433334 61.433334 61.433334 61.433334 61.866665 61.866665
 61.866665 61.866665 61.8      61.8      62.166668 62.433334 61.566666
 61.333332]",0.2887488465559411,69.75999810629611,0.12788151161970795
1889,15,0,4,2,opinion-timeseries,rep,"[58.       59.5      60.       59.233334 59.233334 58.4      58.4
 58.833332 59.533333 60.133335 59.066666 59.066666 59.066666 59.066666
 59.066666 59.033333 59.033333 56.833332 56.833332 56.833332 55.833332
 56.633335 58.133335 57.3      55.433334 54.033333 52.566666 53.333332
 53.333332 54.266666 54.933334 54.6      54.766666 55.5      54.366665
 54.866665 55.466667 56.166668 55.233334 53.766666 52.3      52.266666
 52.266666 52.6      53.2      54.133335 55.333332 56.433334 57.8
 57.8      59.1      59.1      59.1      59.1      59.4      59.366665
 59.366665 59.366665 59.333332 59.333332 59.666668 60.066666 58.733334
 57.933334]",-0.30179090515056894,79.63038115774566,0.14292994683934152
1898,15,0,4,5,opinion-timeseries,rep,"[58.       59.566666 60.066666 58.6      58.6      57.666668 57.666668
 58.066666 58.8      59.466667 58.733334 58.733334 58.733334 58.733334
 58.733334 58.733334 58.733334 56.333332 56.333332 56.333332 55.833332
 56.433334 57.7      56.3      54.066666 52.633335 50.633335 51.266666
 51.266666 52.       52.933334 52.766666 52.566666 53.2      52.266666
 52.866665 53.566666 54.433334 53.4      52.5      51.466667 51.566666
 51.566666 52.366665 53.066666 54.4      56.1      57.466667 58.433334
 58.433334 59.633335 59.7      59.7      59.7      60.2      60.2
 60.2      60.2      60.2      60.2      60.666668 60.933334 59.966667
 59.3     ]",-0.18684103545950206,82.69897870877823,0.14725540390985054
1298,10,0,4,4,opinion-timeseries,rep,"[56.       57.666668 58.366665 57.266666 57.266666 56.166668 56.166668
 56.833332 57.733334 58.5      57.6      57.6      57.6      57.6
 57.6      57.566666 57.566666 55.7      55.666668 55.666668 54.733334
 55.166668 56.766666 56.       53.933334 52.133335 50.666668 51.366665
 51.366665 51.966667 52.8      52.633335 52.6      53.266666 52.7
 53.466667 53.966667 54.433334 53.366665 52.1      51.2      50.9
 50.9      51.533333 52.1      53.133335 54.366665 55.566666 56.566666
 56.566666 57.7      57.733334 57.733334 57.7      57.933334 57.933334
 57.933334 57.933334 57.933334 57.933334 58.2      58.566666 57.433334
 56.666668]",-0.23952404554310894,87.30089325979125,0.155922123217581
104,3,0,4,4,opinion-timeseries,rep,"[53.       54.366665 55.333332 55.233334 55.233334 54.2      54.2
 54.8      55.6      56.3      55.566666 55.566666 55.566666 55.566666
 55.566666 55.533333 55.533333 53.366665 53.366665 53.366665 53.066666
 53.766666 55.166668 54.8      53.4      51.9      50.933334 51.8
 51.8      52.566666 53.2      52.866665 52.933334 53.6      53.266666
 53.733334 54.333332 54.8      53.766666 52.666668 51.566666 51.7
 51.7      52.2      52.666668 53.666668 54.6      55.366665 56.066666
 56.066666 56.866665 56.866665 56.866665 56.866665 57.266666 57.233334
 57.233334 57.233334 57.233334 57.233334 57.566666 57.766666 56.666668
 56.4     ]",0.14286965379643643,87.15318844462854,0.15623646142158848
140,3,0,5,6,opinion-timeseries,rep,"[54.       54.433334 54.8      54.533333 54.533333 54.4      54.4
 54.566666 54.833332 55.066666 54.566666 54.566666 54.566666 54.566666
 54.566666 54.566666 54.566666 53.833332 53.833332 53.833332 53.833332
 54.2      54.6      54.5      54.033333 53.7      53.1      53.466667
 53.466667 53.633335 53.933334 53.733334 53.633335 53.833332 53.8
 53.966667 54.333332 54.6      54.233334 53.8      53.366665 53.533333
 53.533333 53.866665 54.       54.366665 54.833332 55.133335 55.566666
 55.566666 55.866665 55.866665 55.866665 55.866665 55.966667 55.966667
 55.966667 55.966667 55.966667 55.966667 56.233334 56.3      55.966667
 55.733334]",0.28219196632775906,86.47209185034525,0.15631834075963802
1328,10,0,5,4,opinion-timeseries,rep,"[53.       53.433334 53.666668 53.5      53.5      53.233334 53.233334
 53.766666 54.133335 54.6      54.366665 54.366665 54.366665 54.366665
 54.366665 54.366665 54.366665 53.8      53.8      53.8      53.433334
 53.833332 54.433334 54.166668 53.5      52.966667 52.533333 52.766666
 52.766666 53.133335 53.466667 53.433334 53.3      53.5      53.133335
 53.333332 53.566666 53.9      53.366665 53.       52.7      52.866665
 52.866665 53.133335 53.666668 54.       54.5      55.       55.6
 55.6      55.833332 55.833332 55.833332 55.833332 56.       56.
 56.       56.       56.       56.       56.2      56.4      56.033333
 55.666668]",0.4281498400762599,88.10593118527699,0.15806501193012285
