,er_p,cognitive_translate,cognitive_exponent,repetition,run,pearson,euclidean,mape
0,0.05,0,1,0,0,-0.16662473020820637,347.6156597493162,0.5073432758357245
1,0.05,0,1,0,1,-0.3374811177283176,360.15737819011633,0.5307721150018856
2,0.05,0,1,0,2,-0.3040152786022892,359.4673792615951,0.534447937058522
3,0.05,0,1,0,3,-0.21565330626138937,349.3094377618095,0.5185322809688397
4,0.05,0,1,0,4,-0.20805267690246274,354.4600088180148,0.5188990786518862
5,0.05,0,1,0,5,-0.16413180304474573,360.90382758423556,0.5383399196863516
6,0.05,0,1,0,6,-0.17334636926984381,351.7548513594002,0.527110153998535
7,0.05,0,1,0,7,-0.25822094845351834,363.462568527025,0.5456921583773895
8,0.05,0,1,0,8,-0.20922592664117276,348.07983023197795,0.519280848120017
9,0.05,0,1,0,9,-0.1847956217185361,348.6631241050507,0.5188183092987042
10,0.05,0,1,0,10,-0.2592866077641668,354.239316810467,0.5181487259887483
11,0.05,0,1,0,11,-0.177753890869751,363.7754636020897,0.5473707200859046
12,0.05,0,1,0,12,-0.2946727732814285,373.0900803581745,0.5586755788139421
13,0.05,0,1,0,13,-0.1363650556627887,364.0665972448876,0.5447278345081973
14,0.05,0,1,0,14,-0.1836170693949197,367.9061292966903,0.549010345643437
15,0.05,0,1,0,15,-0.21540373131224957,370.2557347114536,0.5515231525336844
16,0.05,0,1,0,16,-0.20473578593044403,362.74424052839413,0.5452668559939559
17,0.05,0,1,0,17,-0.24219825572428935,356.44821931571204,0.5214679423417601
18,0.05,0,1,0,18,-0.19994323666013925,361.59886618003384,0.5440073424894925
19,0.05,0,1,0,19,-0.15688087438896064,351.98084506341024,0.5312872827026246
20,0.05,0,1,0,20,-0.18999591453474815,346.6552856359454,0.5108212781926453
21,0.05,0,1,0,21,-0.20827831007373343,358.76773791648105,0.5395596890734239
22,0.05,0,1,0,22,-0.23345205354825857,368.0910616135081,0.5569809843158571
23,0.05,0,1,0,23,-0.30211343220744186,366.1321668692913,0.5464307404123969
24,0.05,0,1,0,24,-0.18227228219874203,332.784627016862,0.4889212548556591
25,0.05,0,1,0,25,-0.2931836879429513,364.43126994709036,0.5376070367007761
26,0.05,0,1,0,26,-0.166279925539894,363.29062052545606,0.5450112205761253
27,0.05,0,1,0,27,-0.1782016866717425,341.7347664666043,0.5098446620749288
28,0.05,0,1,0,28,-0.09731968907806855,337.3386491445406,0.49495763717407426
29,0.05,0,1,0,29,-0.25114179067719705,359.3173222014598,0.5400361988799346
30,0.05,0,1,1,0,-0.21391028012021795,351.10561803533574,0.521789061041107
31,0.05,0,1,1,1,-0.2392269049387649,365.4555309608974,0.5470070658142925
32,0.05,0,1,1,2,-0.1996727388320215,363.6322366934928,0.5403436300290987
33,0.05,0,1,1,3,-0.27878559860904534,370.23106487956096,0.5520802465800286
34,0.05,0,1,1,4,-0.22806825930834318,365.4052475818514,0.5442231334026336
35,0.05,0,1,1,5,-0.20013666169551372,356.5374477611058,0.5337350774834416
36,0.05,0,1,1,6,-0.2073436525424142,353.04481411271144,0.5205321254898626
37,0.05,0,1,1,7,-0.18238801000588248,364.0653265008505,0.5465853391767336
38,0.05,0,1,1,8,-0.2751084719373718,362.5333444570965,0.5410330253627671
39,0.05,0,1,1,9,-0.23438840507251069,374.30693228583476,0.5655856261152433
40,0.05,0,1,1,10,-0.2349216873706499,361.199707951379,0.5395328290725755
41,0.05,0,1,1,11,-0.2935285632369961,370.638143856951,0.5556359594947025
42,0.05,0,1,1,12,-0.18990146790534923,353.69639396635233,0.5300033804465779
43,0.05,0,1,1,13,-0.09674033820354568,346.78220773376165,0.5205792210404603
44,0.05,0,1,1,14,-0.2666599294235041,362.6582290806557,0.5424064027002867
45,0.05,0,1,1,15,-0.09993895704926102,357.79599218156926,0.535870506017382
46,0.05,0,1,1,16,-0.18933677190390427,359.6600342887711,0.5366867412563923
47,0.05,0,1,1,17,-0.16758134207969363,363.28395086372024,0.5387557151661158
48,0.05,0,1,1,18,-0.24344237527830348,354.4166749653237,0.5254581534858996
49,0.05,0,1,1,19,-0.2073810336470714,358.17311643744983,0.5429617386574493
50,0.05,0,1,1,20,-0.19132332211363945,358.1465264263383,0.5358843771833249
51,0.05,0,1,1,21,-0.24192917948666806,367.8252225781446,0.5486836254801147
52,0.05,0,1,1,22,-0.19232449993944203,340.89612293623946,0.5058335943751244
53,0.05,0,1,1,23,-0.29122381903583033,370.22494644880425,0.5558101179768095
54,0.05,0,1,1,24,-0.2666205176975955,360.889811005219,0.5353768891787514
55,0.05,0,1,1,25,-0.124653642878726,362.2174209070699,0.5411664519423207
56,0.05,0,1,1,26,-0.17972824284772781,361.2194599462823,0.5364231048099433
57,0.05,0,1,1,27,-0.2133808392509163,359.68033770366964,0.5355695677630324
58,0.05,0,1,1,28,-0.20376289508445197,345.74451878194554,0.5093241212685272
59,0.05,0,1,1,29,-0.2339631305817511,366.91702370918455,0.5467084593975455
60,0.05,0,1,2,0,-0.15246050416676163,349.5350124700432,0.5170268988018804
61,0.05,0,1,2,1,-0.15555752189598135,354.1862701533534,0.526490380197921
62,0.05,0,1,2,2,-0.15708621538390347,354.87729782582227,0.5286959358956528
63,0.05,0,1,2,3,-0.1901127988827461,354.7222095011902,0.5394578894340906
64,0.05,0,1,2,4,-0.1322035161296112,340.87952627797995,0.5031748474755052
65,0.05,0,1,2,5,-0.10088587527514913,367.0123435735859,0.5571206816521778
66,0.05,0,1,2,6,-0.21230567846784654,375.17613159005685,0.5643309914869632
67,0.05,0,1,2,7,-0.1495850381561066,359.27800314178074,0.5286502437532751
68,0.05,0,1,2,8,-0.18220145665092194,352.6621538463634,0.5288017981784967
69,0.05,0,1,2,9,-0.1278355452622761,363.59177381511137,0.5475654055286241
70,0.05,0,1,2,10,-0.12270285556056361,351.94654923625853,0.5242522798967219
71,0.05,0,1,2,11,-0.3114452820045605,356.6877241193435,0.5332193836511984
72,0.05,0,1,2,12,-0.1838798795967093,337.06555145020303,0.4929370480776872
73,0.05,0,1,2,13,-0.11772291415950202,354.1638300517971,0.5291621295098077
74,0.05,0,1,2,14,-0.2104910447174495,355.31029846769593,0.5262712465837357
75,0.05,0,1,2,15,-0.19866193305665347,351.3941802915251,0.524180361942853
76,0.05,0,1,2,16,-0.21753896985534105,353.4943734450313,0.5237131489985579
77,0.05,0,1,2,17,-0.26733868663773036,365.99426713006613,0.5510326265255362
78,0.05,0,1,2,18,-0.22592450327135494,358.0858979461362,0.5399440596296182
79,0.05,0,1,2,19,-0.27676667922841314,359.09266516765905,0.5365902906696002
80,0.05,0,1,2,20,-0.29104289940028266,369.80648989264745,0.5539631426465421
81,0.05,0,1,2,21,-0.14746961869442415,351.1156738129799,0.5189348092486031
82,0.05,0,1,2,22,-0.25750851959558646,359.81934299771893,0.5366690197615924
83,0.05,0,1,2,23,-0.3314150367301109,365.8269959366575,0.5430292364025678
84,0.05,0,1,2,24,-0.2787377564143343,356.3217279163603,0.5308659121171747
85,0.05,0,1,2,25,-0.2641641566194824,347.88436314582646,0.5174807936616389
86,0.05,0,1,2,26,-0.2666930306327317,356.4148320103157,0.5323907507447988
87,0.05,0,1,2,27,-0.09920454865580534,365.5485624217251,0.5564119115028197
88,0.05,0,1,2,28,-0.3138863291657717,351.5367759054795,0.5270050905977266
