,er_p,cognitive_translate,cognitive_exponent,repetition,measure,pen_name,data,pearson,euclidean,mape
0,0.05,0,1,0,opinion-timeseries,dem,"[64.        64.        64.        45.766666  43.8       43.8
 43.8       55.133335  55.133335  54.166668  46.166668  40.633335
 36.266666  36.266666  31.4       31.4       30.7       30.7
 27.4       24.166666  17.166666  17.166666  22.866667  15.166667
 11.4        8.533334   6.4        6.4        6.3333335  6.3333335
  6.3333335  6.3333335  6.3333335  6.3333335  4.3       22.066668
 22.066668  34.3       34.3       34.3       34.3       39.933334
 38.5       34.133335  34.133335  44.6       53.133335  58.6
 64.36667   58.8       61.433334  58.8       52.066666  46.2
 49.533333  49.533333  49.533333  46.933334  46.933334  46.933334
 49.4       51.566666  51.566666  38.266666 ]",-0.08835683929826874,451.81909711091885,0.5851056667817124
1,0.05,0,1,0,opinion-timeseries,mod,"[49.        70.2       77.96667   50.533333  48.4       36.666668
 36.166668  46.933334  55.066666  61.066666  40.366665  36.666668
 32.666668  32.3       27.833334  24.733334  24.266666  15.5
 13.3       11.7        7.5       19.4       33.266666  21.233334
 10.4        5.1        2.7666667 18.566668  18.3       30.066668
 39.166668  38.4       38.6       47.566666  36.233334  46.533333
 53.966667  54.        36.433334  25.        16.        32.666668
 31.833334  38.466667  45.833332  50.533333  52.8       54.066666
 51.333332  45.3       52.133335  53.033333  47.166668  42.766666
 44.6       40.5       39.633335  38.2       34.9       34.533333
 38.4       41.166668  30.        23.233334 ]",-0.33052733514701677,338.6120277496998,0.5110926776547302
2,0.05,0,1,0,opinion-timeseries,rep,"[47.        70.8       77.53333   47.233334  46.133335  32.6
 32.133335  41.633335  50.766666  57.2       36.1       32.866665
 29.333334  28.866667  25.766666  22.533333  22.5       12.666667
 11.233334  10.1        7.133333  20.733334  31.7       23.133333
 11.166667   5.1        2.4333334 18.966667  18.833334  30.433332
 39.5       37.333332  35.466667  44.5       34.533333  42.4
 50.866665  49.933334  33.266666  21.166666  13.4       29.433332
 28.7       37.        45.4       47.2       47.8       47.
 45.566666  43.066666  50.4       52.033333  48.966667  45.6
 46.6       43.        41.466667  40.566666  36.8       36.4
 38.966667  41.833332  32.033333  26.833334 ]",-0.14698212058064603,262.1956881879033,0.46887440380354595
3,0.05,0,1,1,opinion-timeseries,dem,"[67.        67.        67.        47.6       45.5       45.5
 45.5       57.866665  57.866665  56.7       46.933334  41.1
 36.466667  36.466667  31.933332  31.933332  31.233334  31.233334
 27.933332  24.733334  17.466667  17.466667  23.5       15.166667
 10.7        7.866667   5.733333   5.733333   5.5333333  5.5333333
  5.5333333  5.5333333  5.5333333  5.5333333  4.3       21.9
 21.9       34.3       34.3       34.3       34.3       37.666668
 36.533333  32.666668  32.666668  43.366665  50.5       56.233334
 62.6       56.3       58.266666  56.3       48.833332  42.9
 46.5       46.5       46.5       44.466667  44.466667  44.466667
 47.        48.666668  48.666668  36.133335 ]",-0.1773328866861448,457.59790893393887,0.5902227976534897
4,0.05,0,1,1,opinion-timeseries,mod,"[42.        66.566666  74.566666  47.233334  44.933334  33.5
 33.2       44.1       53.166668  58.666668  39.733334  35.6
 31.333334  31.033333  27.066668  24.166666  23.8       14.333333
 12.433333  10.533334   6.733333  19.833334  32.2       21.2
 10.366667   4.6666665  1.7333333 16.733334  16.433332  28.6
 37.566666  37.566666  36.866665  45.633335  33.733334  44.433334
 52.466667  52.6       35.233334  23.333334  14.866667  29.9
 28.866667  35.666668  43.866665  48.7       50.866665  51.166668
 49.933334  44.633335  52.1       52.8       46.766666  41.6
 42.966667  39.233334  38.533333  37.2       33.733334  33.533333
 37.633335  40.366665  30.333334  23.5      ]",-0.28605052860482644,346.84063137953433,0.5293652411337357
5,0.05,0,1,1,opinion-timeseries,rep,"[52.        73.066666  80.53333   48.033333  46.833332  34.9
 34.066666  42.7       51.066666  56.833332  34.566666  31.366667
 28.133333  27.666666  24.733334  21.6       21.4       10.866667
  9.666667   8.733334   6.1       19.733334  32.        22.333334
 10.766666   5.133333   2.4333334 18.833334  18.7       29.766666
 38.6       35.966667  34.133335  44.633335  33.866665  42.266666
 51.233334  51.833332  33.566666  21.133333  13.433333  31.166666
 30.266666  37.5       44.7       45.566666  46.566666  45.4
 44.633335  41.        48.833332  51.        47.2       43.6
 43.733334  40.166668  38.933334  38.033333  34.633335  34.066666
 37.066666  39.4       29.8       24.9      ]",-0.21380912130864643,268.9947566781941,0.4827426513973881
6,0.05,0,1,2,opinion-timeseries,dem,"[62.        62.        62.        44.633335  42.3       42.3
 42.3       54.6       54.6       53.6       44.833332  39.633335
 35.633335  35.633335  31.1       31.1       30.7       30.7
 27.033333  24.166666  17.133333  17.133333  21.833334  14.466666
 10.366667   7.766667   5.633333   5.633333   5.5333333  5.5333333
  5.5333333  5.5333333  5.5333333  5.5333333  3.8       20.133333
 20.133333  33.866665  33.866665  33.866665  33.866665  38.533333
 37.233334  32.833332  32.833332  43.8       51.433334  56.5
 62.233334  55.766666  57.933334  56.2       48.666668  42.033333
 46.566666  46.566666  46.566666  44.466667  44.466667  44.466667
 47.9       50.033333  50.033333  37.433334 ]",-0.10767494704812541,460.68484347985634,0.5997858830308178
7,0.05,0,1,2,opinion-timeseries,mod,"[45.       68.933334 77.26667  47.733334 45.1      33.3      32.933334
 43.233334 52.2      58.133335 38.6      34.866665 31.033333 30.633333
 26.3      23.066668 22.6      13.933333 12.266666 10.7       6.366667
 18.766666 32.7      20.733334  9.266666  4.7       2.       18.766666
 18.4      30.3      38.966667 38.466667 38.266666 47.166668 33.833332
 45.3      53.766666 53.666668 35.3      23.766666 15.066667 31.433332
 30.5      37.066666 45.133335 50.766666 52.3      52.933334 51.1
 45.433334 53.133335 54.366665 47.833332 42.366665 43.7      39.633335
 38.433334 36.7      33.1      32.733334 37.033333 40.6      29.766666
 22.666666]",-0.27866076452549365,345.10096556119174,0.5263045703878748
8,0.05,0,1,2,opinion-timeseries,rep,"[56.       76.1      82.4      48.366665 47.166668 34.533333 33.766666
 43.766666 52.233334 59.066666 38.       34.866665 31.566668 31.1
 28.1      25.       24.7      13.266666 11.866667 10.4       7.1
 20.466667 32.966667 23.233334 11.033334  6.        2.9      18.2
 17.9      29.433332 38.5      35.7      34.666668 44.133335 35.066666
 43.8      52.333332 51.2      34.266666 22.       14.333333 30.8
 29.566668 37.933334 45.566666 47.566666 46.4      46.833332 45.333332
 42.233334 48.933334 51.1      47.733334 43.5      44.8      39.633335
 38.1      37.       34.       33.366665 36.666668 39.666668 28.9
 24.133333]",-0.2556702022072417,264.6058035229421,0.47561387870136423
9,0.05,0,1,3,opinion-timeseries,dem,"[66.        66.        66.        47.9       45.766666  45.766666
 45.766666  57.933334  57.933334  56.9       47.5       42.466667
 37.666668  37.666668  33.133335  33.133335  32.566666  32.566666
 28.433332  25.366667  18.5       18.5       23.533333  16.166666
 12.4        9.266666   6.7        6.7        6.6666665  6.6666665
  6.6666665  6.6666665  6.6666665  6.6666665  5.233333  22.066668
 22.066668  35.133335  35.133335  35.133335  35.133335  38.8
 37.566666  33.266666  33.266666  45.066666  52.266666  58.466667
 64.76667   57.033333  59.833332  57.633335  49.7       43.833332
 47.133335  47.133335  47.133335  45.3       45.3       45.3
 46.8       48.066666  48.066666  35.466667 ]",-0.1635151657497899,451.1833644358519,0.5816990207144106
