,er_p,cognitive_translate,cognitive_exponent,repetition,measure,pen_name,data,pearson,euclidean,mape
140,0.05,0,5,6,opinion-timeseries,rep,"[58.       58.5      58.7      58.166668 58.166668 57.666668 57.666668
 57.833332 58.2      58.533333 58.033333 58.033333 58.033333 58.033333
 58.033333 58.033333 58.033333 57.7      57.7      57.7      57.333332
 57.5      57.9      57.633335 57.066666 56.466667 55.7      55.9
 55.9      56.133335 56.4      56.3      56.233334 56.566666 56.4
 56.666668 56.866665 57.166668 56.866665 56.233334 55.866665 55.8
 55.8      56.033333 56.333332 56.8      57.3      57.766666 58.366665
 58.366665 59.033333 59.033333 59.033333 59.033333 59.166668 59.166668
 59.166668 59.166668 59.166668 59.166668 59.366665 59.633335 59.233334
 58.866665]",-0.050981795112583994,70.50367407289477,0.12779053831692128
1316,0.25,0,5,1,opinion-timeseries,rep,"[57.       57.233334 57.6      57.433334 57.433334 56.966667 56.966667
 57.2      57.466667 57.8      57.466667 57.466667 57.466667 57.466667
 57.466667 57.4      57.4      56.9      56.9      56.9      56.5
 56.6      57.033333 56.733334 55.9      55.033333 54.533333 54.966667
 54.966667 55.166668 55.366665 55.366665 55.3      55.533333 55.066666
 55.266666 55.533333 55.666668 55.366665 55.       54.6      54.566666
 54.566666 54.766666 54.966667 55.433334 56.033333 56.266666 56.8
 56.8      57.3      57.3      57.3      57.3      57.3      57.3
 57.3      57.3      57.3      57.3      57.633335 57.833332 57.6
 57.3     ]",-0.3145285500048877,78.29742815550536,0.14095304463115021
128,0.05,0,5,2,opinion-timeseries,rep,"[55.       55.633335 55.833332 55.466667 55.466667 54.866665 54.866665
 55.033333 55.233334 55.633335 55.533333 55.533333 55.533333 55.533333
 55.533333 55.533333 55.533333 55.066666 55.066666 55.066666 54.733334
 55.033333 55.566666 55.4      54.866665 54.533333 53.866665 54.166668
 54.166668 54.5      54.733334 54.633335 54.533333 54.933334 54.666668
 54.833332 55.233334 55.5      55.333332 54.966667 54.666668 54.7
 54.7      55.033333 55.233334 55.9      56.3      56.766666 57.066666
 57.066666 57.366665 57.366665 57.366665 57.366665 57.6      57.6
 57.6      57.6      57.6      57.6      57.8      58.       57.8
 57.666668]",0.39396788249978276,78.535133805226,0.1428732632881367
131,0.05,0,5,3,opinion-timeseries,rep,"[54.       54.733334 54.933334 54.666668 54.666668 54.266666 54.266666
 54.433334 54.633335 54.966667 54.633335 54.633335 54.633335 54.633335
 54.633335 54.633335 54.633335 54.       54.       54.       53.666668
 53.966667 54.533333 54.333332 53.633335 53.1      52.366665 52.566666
 52.566666 52.833332 53.3      52.933334 52.766666 53.033333 52.933334
 53.266666 53.466667 53.9      53.533333 53.366665 53.033333 53.2
 53.2      53.533333 53.733334 54.166668 54.7      55.233334 55.466667
 55.466667 56.133335 56.133335 56.133335 56.133335 56.3      56.3
 56.3      56.3      56.3      56.3      56.4      56.666668 56.366665
 56.233334]",0.16790804056935818,87.82726602536238,0.15865831949536985
716,0.1,0,5,0,opinion-timeseries,rep,"[53.       53.666668 53.933334 53.733334 53.733334 53.333332 53.333332
 53.833332 54.1      54.333332 53.933334 53.933334 53.933334 53.933334
 53.933334 53.933334 53.933334 53.1      53.1      53.1      52.8
 53.133335 53.766666 53.533333 52.933334 52.233334 51.433334 51.666668
 51.666668 51.966667 52.233334 52.333332 52.366665 52.7      52.333332
 52.7      53.033333 53.366665 53.233334 52.866665 52.5      52.633335
 52.633335 52.866665 53.266666 54.4      54.9      55.466667 55.8
 55.8      56.366665 56.366665 56.366665 56.366665 56.6      56.6
 56.6      56.6      56.6      56.6      56.8      57.066666 56.733334
 56.3     ]",0.3373629584837491,89.40326717488806,0.1615462965744563
1319,0.25,0,5,2,opinion-timeseries,rep,"[54.       54.766666 54.9      54.466667 54.466667 54.066666 54.066666
 54.333332 54.7      54.933334 54.566666 54.566666 54.566666 54.566666
 54.566666 54.566666 54.566666 53.866665 53.866665 53.866665 53.666668
 53.833332 54.333332 53.9      53.233334 52.833332 52.3      52.666668
 52.666668 52.733334 53.066666 52.866665 52.666668 53.033333 52.666668
 53.133335 53.5      53.9      53.7      53.266666 52.9      52.666668
 52.666668 53.       53.166668 53.666668 54.333332 54.666668 55.
 55.       55.566666 55.566666 55.566666 55.566666 55.766666 55.733334
 55.733334 55.733334 55.733334 55.733334 56.       56.166668 55.8
 55.666668]",0.0676672889296668,89.96286320231252,0.16191546817946376
689,0.1,0,4,0,opinion-timeseries,rep,"[55.       56.344826 57.068966 55.75862  55.75862  54.86207  54.86207
 55.655174 56.482758 57.24138  56.103447 56.103447 56.103447 56.103447
 56.103447 56.103447 56.103447 53.96552  53.96552  53.96552  53.13793
 53.75862  55.       54.172413 52.517242 50.724136 49.13793  49.689655
 49.689655 50.41379  51.206898 51.41379  51.448277 52.03448  51.344826
 52.103447 52.96552  53.75862  52.75862  51.655174 50.689655 50.310345
 50.310345 51.13793  51.75862  53.03448  54.310345 55.172413 56.37931
 56.37931  57.482758 57.517242 57.517242 57.517242 58.103447 58.03448
 58.03448  58.03448  58.03448  58.03448  58.689655 59.068966 58.03448
 57.344826]",-0.06540295411612404,91.00172611409273,0.16262069033920998
731,0.1,0,5,5,opinion-timeseries,rep,"[54.       54.633335 54.9      54.566666 54.566666 54.333332 54.333332
 54.566666 54.866665 55.1      54.8      54.8      54.8      54.8
 54.8      54.8      54.8      54.       54.       54.       53.733334
 53.9      54.4      54.033333 53.366665 52.533333 51.766666 52.066666
 52.066666 52.4      52.533333 52.6      52.566666 53.       52.8
 53.033333 53.3      53.6      53.266666 53.       52.666668 52.533333
 52.533333 52.766666 52.9      53.433334 53.766666 54.1      54.7
 54.7      55.3      55.3      55.3      55.3      55.633335 55.633335
 55.633335 55.633335 55.6      55.6      55.8      56.233334 55.833332
 55.5     ]",-0.04417998925380829,91.18394355623417,0.16363834606641198
692,0.1,0,4,1,opinion-timeseries,rep,"[53.       54.766666 55.433334 54.9      54.9      53.666668 53.666668
 54.566666 55.266666 55.9      54.966667 54.966667 54.966667 54.966667
 54.966667 54.933334 54.933334 53.133335 53.133335 53.133335 52.066666
 52.933334 54.366665 53.6      51.666668 49.766666 48.133335 49.266666
 49.266666 50.066666 50.6      50.4      50.633335 51.666668 51.033333
 51.566666 52.033333 52.633335 51.8      50.7      49.966667 49.966667
 49.966667 50.466667 51.4      53.166668 54.466667 55.633335 56.8
 56.8      57.6      57.633335 57.633335 57.633335 58.2      58.2
 58.2      58.2      58.166668 58.166668 58.533333 59.033333 58.133335
 57.166668]",0.09336883814961981,92.99870759392066,0.16553725540543088
1295,0.25,0,4,4,opinion-timeseries,rep,"[55.       56.566666 57.233334 56.366665 56.366665 55.4      55.4
 56.2      57.066666 57.533333 56.366665 56.366665 56.366665 56.366665
 56.333332 56.333332 56.333332 54.066666 54.066666 54.033333 53.466667
 54.3      55.133335 54.033333 52.5      50.633335 48.5      49.5
 49.5      50.3      51.266666 51.266666 51.033333 51.433334 50.633335
 51.433334 52.133335 52.833332 51.733334 50.8      49.966667 49.933334
 49.933334 50.533333 50.966667 52.566666 53.733334 54.933334 55.966667
 55.966667 57.166668 57.166668 57.166668 57.166668 57.833332 57.833332
 57.833332 57.833332 57.766666 57.766666 58.3      58.8      57.666668
 56.733334]",-0.16302813183756393,93.55976241830895,0.167019249882015
