,ba_m,complex_spread_ratio,group_homophily,repetition,measure,pen_name,run,rand_id,data,pearson,euclidean,mape
51716,10,0.25,0.5,2,opinion-timeseries,dem,20,7455,"[77. 77. 77. 67. 67. 67. 67. 92. 92. 92. 92. 92. 92. 92. 92. 92. 92. 92.
 92. 92. 91. 91. 93. 92. 92. 92. 92. 92. 92. 92. 92. 92. 92. 92. 92. 93.
 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93.
 93. 93. 93. 93. 93. 93. 93. 93. 93. 92.]",0.73622655803861,45.102096403604136,0.05464002562894592
51703,10,0.25,0.5,2,opinion-timeseries,dem,7,5001,"[77. 77. 77. 70. 70. 70. 70. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93.
 93. 93. 92. 92. 93. 92. 92. 92. 92. 92. 92. 92. 92. 92. 92. 92. 92. 93.
 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93.
 93. 93. 93. 93. 93. 93. 93. 93. 93. 92.]",0.7235799997978082,46.3124076247392,0.05491823031964721
51725,10,0.25,0.5,2,opinion-timeseries,dem,29,9834,"[77. 77. 77. 70. 70. 70. 70. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93.
 93. 93. 92. 92. 93. 92. 92. 92. 92. 92. 92. 92. 92. 92. 92. 92. 92. 93.
 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93.
 93. 93. 93. 93. 93. 93. 93. 93. 93. 92.]",0.7235799997978082,46.3124076247392,0.05491823031964721
51706,10,0.25,0.5,2,opinion-timeseries,dem,10,5593,"[77. 77. 77. 66. 66. 66. 66. 92. 92. 92. 92. 92. 92. 92. 92. 92. 92. 92.
 92. 92. 91. 91. 93. 92. 92. 92. 92. 92. 92. 92. 92. 92. 92. 92. 92. 93.
 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93.
 93. 93. 93. 93. 93. 93. 93. 93. 93. 92.]",0.7300398202839959,45.80195519844106,0.05547991851167838
51708,10,0.25,0.5,2,opinion-timeseries,dem,12,5987,"[77. 77. 77. 69. 69. 69. 69. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93.
 93. 93. 92. 92. 93. 92. 92. 92. 92. 92. 92. 92. 92. 92. 92. 92. 92. 93.
 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93.
 93. 93. 93. 93. 93. 93. 93. 93. 93. 92.]",0.7180176270440393,46.738197440637364,0.05575812320237969
51713,10,0.25,0.5,2,opinion-timeseries,dem,17,6786,"[77. 77. 77. 69. 69. 69. 69. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93.
 93. 93. 92. 92. 93. 92. 92. 92. 92. 92. 92. 92. 92. 92. 92. 92. 92. 93.
 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93.
 93. 93. 93. 93. 93. 93. 93. 93. 93. 92.]",0.7180176270440393,46.738197440637364,0.05575812320237969
51719,10,0.25,0.5,2,opinion-timeseries,dem,23,8419,"[77. 77. 77. 69. 69. 69. 69. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93.
 93. 93. 92. 92. 93. 92. 92. 92. 92. 92. 92. 92. 92. 92. 92. 92. 92. 93.
 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93.
 93. 93. 93. 93. 93. 93. 93. 93. 93. 92.]",0.7180176270440393,46.738197440637364,0.05575812320237969
51721,10,0.25,0.5,2,opinion-timeseries,dem,25,922,"[77. 77. 77. 69. 69. 69. 69. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93.
 93. 93. 92. 92. 93. 92. 92. 92. 92. 92. 92. 92. 92. 92. 92. 92. 92. 93.
 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93.
 93. 93. 93. 93. 93. 93. 93. 93. 93. 92.]",0.7180176270440393,46.738197440637364,0.05575812320237969
51723,10,0.25,0.5,2,opinion-timeseries,dem,27,9391,"[77. 77. 77. 69. 69. 69. 69. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93.
 93. 93. 92. 92. 93. 92. 92. 92. 92. 92. 92. 92. 92. 92. 92. 92. 92. 93.
 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93.
 93. 93. 93. 93. 93. 93. 93. 93. 93. 92.]",0.7180176270440393,46.738197440637364,0.05575812320237969
51696,10,0.25,0.5,2,opinion-timeseries,dem,0,136,"[77. 77. 77. 68. 68. 68. 68. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93.
 93. 93. 92. 92. 93. 92. 92. 92. 92. 92. 92. 92. 92. 92. 92. 92. 92. 93.
 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93.
 93. 93. 93. 93. 93. 93. 93. 93. 93. 92.]",0.7125414775960947,47.24488437915793,0.056598016085112154
