,ba_m,complex_spread_ratio,group_homophily,repetition,measure,pen_name,data,pearson,euclidean,mape
0,3,0.05,0.1,0,opinion-timeseries,dem,"[67.       67.       67.       23.448277 23.448277 23.448277 23.448277
 83.82758  83.82758  83.82758  75.655174 61.068966 50.172413 50.172413
 47.172413 47.172413 47.172413 47.172413 45.344826 45.275864 25.344828
 25.344828 53.931034 26.344828 24.       24.       24.       24.
 24.       24.       24.       24.       24.       24.       24.
 81.17242  81.17242  82.       82.       82.       82.       80.72414
 80.72414  56.827587 56.827587 82.       82.       82.       82.
 51.310345 81.48276  81.48276  53.03448  46.13793  81.89655  81.89655
 81.89655  81.89655  81.89655  81.89655  82.       82.       82.
 27.724138]",0.30600898170791374,318.2169161657029,0.37125901763679725
1,3,0.05,0.1,0,opinion-timeseries,mod,"[47.       54.       54.       48.448277 48.448277 46.517242 46.517242
 47.517242 47.517242 47.517242 44.827587 42.75862  41.931034 41.931034
 40.517242 40.517242 40.517242 40.517242 40.517242 40.517242 38.
 41.       41.       38.       38.       38.       38.       41.
 41.       41.       41.       41.       41.       41.       38.
 41.       41.       41.       38.       38.       38.       41.
 41.       41.       41.       41.       41.       41.       41.
 41.       41.       41.       41.       41.       41.       41.
 41.       41.       41.       41.       41.       41.       38.
 38.      ]",-0.8389913390407371,275.32941995034327,0.42382230791125286
2,3,0.05,0.1,0,opinion-timeseries,rep,"[50.       65.48276  66.       60.689655 60.689655 50.448277 50.448277
 60.068966 60.206898 60.206898 50.75862  49.655174 49.310345 49.310345
 49.24138  47.724136 47.724136 47.482758 47.482758 47.482758 46.13793
 59.172413 60.       48.517242 46.655174 46.       46.       59.03448
 59.03448  60.       60.       59.724136 59.58621  60.       49.689655
 59.75862  60.       59.103447 47.448277 46.       46.       57.827587
 57.827587 56.827587 60.       60.       60.       60.       55.068966
 54.655174 60.       60.       56.58621  56.03448  60.       55.
 55.       55.       54.       54.       58.       58.       48.172413
 47.      ]",-0.017470962354335862,97.7323566017044,0.17610869835977555
3,3,0.05,0.1,1,opinion-timeseries,dem,"[65.       65.       65.       15.466666 15.466666 15.466666 15.466666
 79.433334 79.433334 79.433334 75.833336 63.9      56.433334 56.433334
 54.8      54.8      54.8      54.8      54.666668 54.666668 19.266666
 19.266666 73.6      19.266666 18.       18.       18.       18.
 18.       18.       18.       18.       18.       18.       18.
 79.666664 79.666664 82.73333  82.73333  82.73333  82.73333  80.2
 80.2      76.666664 76.666664 82.833336 83.       83.       83.
 72.26667  83.       83.       74.6      60.933334 82.9      82.9
 82.9      82.9      82.9      82.9      83.       83.       83.
 19.4     ]",0.36074275311040993,324.47693584740557,0.35897476146463214
4,3,0.05,0.1,1,opinion-timeseries,mod,"[47. 52. 52. 47. 47. 46. 46. 47. 47. 47. 46. 46. 46. 46. 46. 46. 46. 46.
 46. 46. 45. 47. 47. 45. 45. 45. 45. 47. 47. 47. 47. 47. 47. 47. 45. 47.
 47. 47. 45. 45. 45. 47. 47. 47. 47. 47. 47. 47. 47. 47. 47. 47. 47. 47.
 47. 47. 47. 47. 47. 47. 47. 47. 45. 45.]",-0.3411989998693915,231.97585973544747,0.36030591842210535
5,3,0.05,0.1,1,opinion-timeseries,rep,"[52.       66.       66.       47.8      47.8      35.233334 35.233334
 46.       51.366665 52.       37.       37.       37.       37.
 37.       37.       37.       34.       34.       34.       34.
 46.6      52.       38.4      34.       34.       34.       46.333332
 46.333332 51.433334 52.       48.6      47.566666 51.333332 38.066666
 48.3      51.9      52.       37.1      34.233334 34.       45.366665
 45.366665 51.466667 52.       52.       52.       52.       51.
 51.       52.       52.       52.       52.       52.       51.
 51.       51.       51.       51.       52.       52.       36.933334
 34.1     ]",0.029624285736672997,164.18594129584412,0.30303552527244904
6,3,0.05,0.1,2,opinion-timeseries,dem,"[64.       64.       64.       17.833334 17.833334 17.833334 17.833334
 85.3      85.3      85.3      82.9      81.13333  79.2      79.2
 77.63333  77.63333  77.63333  77.63333  68.46667  57.066666 21.1
 21.1      78.       23.233334 19.2      19.       19.       19.
 19.       19.       19.       19.       19.       19.       19.
 78.5      78.5      88.833336 88.833336 88.833336 88.833336 79.6
 79.6      77.03333  77.03333  90.333336 91.       91.       91.
 76.3      88.333336 88.333336 70.5      61.9      88.86667  88.86667
 88.86667  88.86667  88.86667  88.86667  89.03333  91.       91.
 23.733334]",0.32753467995037283,303.98997124416474,0.30427195730811196
7,3,0.05,0.1,2,opinion-timeseries,mod,"[49.       55.       55.       46.566666 46.566666 45.666668 45.666668
 45.666668 46.733334 47.       46.       46.       46.       46.
 46.       46.       46.       46.       46.       46.       39.866665
 45.4      45.866665 39.       39.       39.       39.       43.933334
 43.933334 45.       45.       45.       45.       45.       39.
 44.1      45.       45.       39.       39.       39.       44.1
 44.1      45.       45.       45.       45.       45.       45.
 45.       45.       45.       45.       45.       45.       45.
 45.       45.       45.       45.       45.       45.       39.
 39.      ]",-0.5028304861067103,251.0079285048796,0.38900541210317946
8,3,0.05,0.1,2,opinion-timeseries,rep,"[37.       55.633335 56.       42.6      42.6      27.433332 27.433332
 39.       41.7      42.866665 28.366667 28.366667 28.366667 28.366667
 28.366667 27.366667 27.366667 26.866667 26.866667 26.866667 26.033333
 39.366665 43.       26.666666 26.       26.       26.       39.933334
 39.933334 42.666668 43.       41.4      41.2      43.       26.733334
 38.233334 42.166668 43.       27.233334 26.       26.       38.233334
 38.233334 42.066666 43.       43.       43.       43.       41.
 41.       43.       43.       42.066666 41.166668 43.       41.
 41.       41.       41.       41.       43.       43.       27.366667
 26.      ]",0.016973467227744718,227.18899436315402,0.4236133903982089
9,3,0.05,0.1,3,opinion-timeseries,dem,"[68.       68.       68.       19.1      19.1      19.1      19.1
 78.833336 78.833336 78.833336 67.76667  58.766666 57.4      57.4
 57.333332 57.333332 57.333332 57.333332 57.333332 57.333332 23.433332
 23.433332 62.3      23.866667 20.3      20.       20.       20.
 20.       20.       20.       20.       20.       20.       20.
 76.333336 76.333336 85.03333  85.03333  85.03333  85.03333  77.066666
 77.066666 65.833336 65.833336 85.53333  86.       86.       86.
 67.46667  85.666664 85.666664 66.566666 54.566666 85.433334 85.433334
 85.433334 85.433334 85.433334 85.433334 86.       86.       86.
 23.      ]",0.35243520425314984,315.27854866303846,0.35023086028083794
