,er_p,complex_spread_ratio,repetition,pearson,euclidean,mape
134,0.25,0.5,4,,147.39336121651257,0.2249202002177205
135,0.25,0.5,5,,152.16766339765272,0.2340349301274076
187,0.5,0.5,7,,156.84230961454898,0.2351600657271634
172,0.5,0.25,2,,166.0955116688531,0.2489563180765873
139,0.25,0.5,9,,163.71835864168273,0.249799032926654
182,0.5,0.5,2,,166.8105700756844,0.2537357597859571
34,0.05,0.5,4,0.1459351863059546,169.54705311212152,0.2576306518647114
183,0.5,0.5,3,,169.0206861434371,0.259814297715532
88,0.1,0.5,8,,172.57359875592738,0.2601476822159338
124,0.25,0.25,4,,222.9255225000775,0.2650309306093806
