,ws_p,ws_k,complex_spread_ratio,repetition,run,pearson,euclidean,mape
13212,0.25,5,0.5,2,17,0.22682209635729236,95.73136435194203,0.14366210886574984
21637,0.5,5,0.25,1,0,0.41907464144392054,133.75069837826592,0.1644194632385287
11571,0.25,3,0.5,4,28,-0.02827871004600377,117.90750411893924,0.16691901385522337
17786,0.5,2,0.05,8,7,0.04008118738454076,124.33766178868511,0.17224415850423758
9242,0.25,2,0.1,6,9,0.3478070554656305,131.9453577747478,0.17228136694687282
10582,0.25,3,0.05,1,3,0.18942522703169704,129.96860342560845,0.17266058531736525
10583,0.25,3,0.05,1,4,0.14868197061367683,129.0511342456971,0.17352083506009622
9488,0.25,2,0.25,4,15,0.11538703468811601,130.2885879553552,0.17434343281147976
21609,0.5,5,0.25,0,2,0.2757210615351109,137.47832537715507,0.17499180012556392
10939,0.25,3,0.1,3,0,0.06762749941863251,136.71464448530938,0.17558215118876266
