,ws_p,ws_k,complex_spread_ratio,repetition,measure,pen_name,data,pearson,euclidean,mape
582,0.1,10,0.25,1,opinion-timeseries,dem,"[ 68.        68.        68.        50.8       50.8       50.8
  50.8       86.066666  86.066666  86.066666  86.066666  86.066666
  86.066666  86.066666  86.066666  86.066666  86.066666  86.066666
  86.066666  86.066666  81.933334  81.933334  96.166664  92.8
  91.433334  90.03333   88.4       88.4       88.4       88.4
  88.4       88.4       88.4       88.4       87.666664  94.
  94.        96.8       96.8       96.8       96.8       98.23333
  98.23333   98.23333   98.23333   99.333336  99.8      100.
 100.       100.       100.       100.       100.       100.
 100.       100.       100.       100.       100.       100.
 100.       100.       100.        97.      ]",0.8796284815476116,54.42017847298645,0.05057760958952618
606,0.1,10,0.25,9,opinion-timeseries,dem,"[ 72.        72.        72.        55.        55.        55.
  55.        90.5       90.5       90.5       90.5       90.5
  90.5       90.5       90.5       90.5       90.5       90.5
  90.5       90.5       84.3       84.3       98.        95.7
  94.4       93.333336  92.03333   92.03333   92.03333   92.03333
  92.03333   92.03333   92.03333   92.03333   90.833336  94.73333
  94.73333   96.433334  96.433334  96.433334  96.433334  96.9
  96.9       96.9       96.9       98.03333   98.933334  99.666664
 100.       100.       100.       100.       100.       100.
 100.       100.       100.       100.       100.       100.
 100.       100.       100.        98.433334]",0.8391509387189681,54.02640031249416,0.06042582290073461
768,0.1,15,0.25,4,opinion-timeseries,dem,"[ 67.        67.        67.        47.733334  47.733334  47.733334
  47.733334  84.2       84.2       84.2       84.2       84.2
  84.2       84.2       84.2       84.2       84.2       84.2
  84.2       84.2       72.433334  72.433334  89.13333   83.333336
  82.76667   82.433334  82.4       82.4       82.4       82.4
  82.4       82.4       82.4       82.4       82.4       93.066666
  93.066666  98.03333   98.03333   98.03333   98.03333   99.73333
  99.73333   99.73333   99.73333  100.       100.       100.
 100.       100.       100.       100.       100.       100.
 100.       100.       100.       100.       100.       100.
 100.       100.       100.        98.      ]",0.859151193138861,66.8821353296312,0.06691243964850915
1482,0.25,10,0.25,9,opinion-timeseries,dem,"[ 72.        72.        72.        50.366665  50.366665  50.366665
  50.366665  90.26667   90.26667   90.26667   90.26667   90.26667
  90.26667   90.26667   90.26667   90.26667   90.26667   90.26667
  90.26667   90.26667   80.933334  80.933334  96.76667   94.2
  92.46667   89.86667   87.433334  87.433334  87.433334  87.433334
  87.433334  87.433334  87.433334  87.433334  85.1       95.666664
  95.666664  99.53333   99.53333   99.53333   99.53333   99.833336
  99.833336  99.833336  99.833336  99.96667  100.       100.
 100.       100.       100.       100.       100.       100.
 100.       100.       100.       100.       100.       100.
 100.       100.       100.        95.63333 ]",0.815704721616078,62.377069593522016,0.06728366787636117
1479,0.25,10,0.25,8,opinion-timeseries,dem,"[63.       63.       63.       35.833332 35.833332 35.833332 35.833332
 83.933334 83.933334 83.933334 83.933334 83.933334 83.933334 83.933334
 83.933334 83.933334 83.933334 83.933334 83.933334 83.933334 74.066666
 74.066666 96.3      92.46667  90.9      90.066666 89.6      89.6
 89.6      89.6      89.6      89.6      89.6      89.6      89.36667
 97.7      97.7      99.566666 99.566666 99.566666 99.566666 99.
 99.       99.       99.       99.76667  99.86667  99.86667  99.86667
 99.86667  99.86667  99.86667  99.86667  99.86667  99.86667  99.86667
 99.86667  99.86667  99.86667  99.86667  99.86667  99.86667  99.86667
 92.066666]",0.8462348714258252,84.61961013700025,0.06975897760392805
2177,0.5,5,0.5,1,opinion-timeseries,rep,"[50. 67. 67. 65. 65. 60. 60. 60. 65. 65. 60. 60. 60. 60. 60. 60. 60. 60.
 60. 60. 60. 65. 65. 65. 60. 60. 60. 65. 65. 65. 65. 65. 65. 65. 65. 65.
 65. 65. 60. 60. 60. 61. 61. 66. 66. 66. 66. 66. 66. 66. 66. 66. 66. 66.
 66. 66. 66. 66. 66. 66. 66. 66. 61. 61.]",0.4138560572455047,48.568377572243435,0.07399833851682996
441,0.1,5,0.5,3,opinion-timeseries,dem,"[76.       76.       76.       70.333336 70.333336 70.333336 70.333336
 82.46667  82.46667  82.46667  82.46667  82.46667  82.46667  82.46667
 82.46667  82.46667  82.46667  82.46667  82.46667  82.46667  80.86667
 80.86667  81.8      81.566666 81.566666 81.566666 81.566666 81.566666
 81.566666 81.566666 81.566666 81.566666 81.566666 81.566666 81.566666
 83.26667  83.26667  85.1      85.1      85.1      85.1      86.566666
 86.566666 86.566666 86.566666 87.76667  88.36667  88.5      88.5
 88.5      88.5      88.5      88.5      88.5      88.5      88.5
 88.5      88.5      88.5      88.5      88.5      88.5      88.5
 88.5     ]",0.8695975525750798,57.70011305432992,0.07547022195396146
1461,0.25,10,0.25,2,opinion-timeseries,dem,"[ 66.        66.        66.        43.866665  43.866665  43.866665
  43.866665  91.63333   91.63333   91.63333   91.63333   91.63333
  91.63333   91.63333   91.63333   91.63333   91.63333   91.63333
  91.63333   91.63333   86.333336  86.333336  97.8       96.03333
  94.36667   93.23333   92.166664  92.166664  92.166664  92.166664
  92.166664  92.166664  92.166664  92.166664  91.23333   98.8
  98.8      100.       100.       100.       100.       100.
 100.       100.       100.       100.       100.       100.
 100.       100.       100.       100.       100.       100.
 100.       100.       100.       100.       100.       100.
 100.       100.       100.       100.      ]",0.8152274484636599,75.11975882561251,0.07747590666493642
1476,0.25,10,0.25,7,opinion-timeseries,dem,"[ 66.        66.        66.        38.4       38.4       38.4
  38.4       86.8       86.8       86.8       86.8       86.8
  86.8       86.8       86.8       86.8       86.8       86.8
  86.8       86.8       78.9       78.9       97.46667   96.36667
  95.76667   94.76667   94.46667   94.46667   94.46667   94.46667
  94.46667   94.46667   94.46667   94.46667   94.36667   98.833336
  98.833336  99.96667   99.96667   99.96667   99.96667  100.
 100.       100.       100.       100.       100.       100.
 100.       100.       100.       100.       100.       100.
 100.       100.       100.       100.       100.       100.
 100.       100.       100.       100.      ]",0.8279463782541409,81.95756786469035,0.07799966615239953
1659,0.25,15,0.25,9,opinion-timeseries,dem,"[60.       60.       60.       30.566668 30.566668 30.566668 30.566668
 83.5      83.5      83.5      83.5      83.5      83.5      83.5
 83.5      83.5      83.5      83.5      83.5      83.5      69.666664
 69.666664 97.1      93.9      91.666664 89.23333  86.53333  86.53333
 86.53333  86.53333  86.53333  86.53333  86.53333  86.53333  83.333336
 93.46667  93.46667  98.333336 98.333336 98.333336 98.333336 98.933334
 98.933334 98.933334 98.933334 99.53333  99.53333  99.53333  99.53333
 99.53333  99.53333  99.53333  99.53333  99.53333  99.53333  99.53333
 99.53333  99.53333  99.53333  99.53333  99.53333  99.53333  99.53333
 92.23333 ]",0.8353088885676417,96.30357982447802,0.07825372711798165
