,ba_m,simple_spread_chance,repetition,measure,pen_name,run,rand_id,data,pearson,euclidean,mape
5930,5,0.01,6,opinion-timeseries,rep,20,6393,"[55. 56. 57. 55. 55. 55. 55. 55. 56. 56. 56. 56. 56. 55. 55. 55. 55. 54.
 54. 54. 54. 54. 55. 55. 54. 54. 54. 54. 54. 55. 55. 56. 58. 58. 58. 58.
 59. 59. 56. 56. 56. 56. 56. 57. 55. 55. 54. 53. 53. 53. 54. 54. 54. 53.
 52. 52. 51. 51. 51. 51. 51. 51. 51. 51.]",-0.3156241696398016,91.68897043810665,0.15941300496771366
5666,5,0.01,3,opinion-timeseries,rep,26,8429,"[53. 55. 56. 58. 58. 58. 58. 58. 58. 58. 56. 56. 56. 56. 56. 56. 56. 56.
 56. 56. 55. 56. 57. 57. 55. 54. 51. 52. 52. 54. 55. 54. 54. 54. 54. 54.
 54. 54. 53. 53. 52. 54. 53. 55. 54. 53. 54. 55. 54. 54. 54. 55. 55. 54.
 54. 54. 54. 54. 51. 50. 50. 50. 48. 48.]",-0.588439185773143,96.69316056474726,0.17010202174256253
5483,5,0.01,1,opinion-timeseries,rep,23,751,"[53. 55. 55. 54. 54. 54. 54. 54. 55. 57. 56. 56. 56. 56. 56. 56. 56. 56.
 56. 56. 55. 55. 55. 55. 54. 54. 53. 54. 54. 55. 55. 55. 54. 55. 55. 55.
 55. 55. 55. 54. 53. 53. 52. 55. 55. 54. 52. 50. 49. 49. 50. 51. 50. 50.
 50. 50. 50. 50. 50. 50. 50. 50. 49. 49.]",-0.4894607844075222,101.98689768788928,0.17170808105099372
6181,5,0.01,9,opinion-timeseries,rep,1,1426,"[54. 56. 56. 56. 56. 55. 55. 55. 56. 58. 57. 57. 57. 57. 57. 57. 57. 54.
 54. 54. 54. 55. 56. 56. 55. 53. 53. 53. 53. 53. 53. 54. 55. 56. 56. 56.
 57. 57. 56. 56. 54. 55. 53. 53. 52. 51. 51. 51. 50. 50. 50. 50. 50. 50.
 50. 49. 49. 49. 49. 49. 49. 49. 48. 48.]",-0.5938777241946686,104.57555785172745,0.17610750791694646
423,3,0.01,4,opinion-timeseries,rep,3,2771,"[54. 58. 60. 59. 59. 59. 59. 59. 59. 62. 61. 61. 60. 58. 58. 57. 57. 53.
 53. 53. 53. 54. 54. 54. 53. 52. 52. 52. 52. 53. 54. 54. 54. 55. 55. 55.
 56. 56. 55. 53. 52. 54. 53. 53. 53. 53. 52. 53. 53. 53. 54. 54. 54. 54.
 53. 52. 51. 51. 51. 50. 50. 50. 48. 48.]",-0.6839500358128011,101.52156076420415,0.18126106514607787
531,3,0.01,5,opinion-timeseries,rep,21,7178,"[53. 56. 57. 57. 57. 56. 56. 56. 56. 56. 56. 56. 56. 55. 55. 54. 54. 54.
 54. 54. 53. 53. 54. 54. 53. 52. 51. 53. 53. 54. 56. 55. 55. 55. 55. 55.
 56. 56. 54. 54. 54. 55. 55. 56. 57. 56. 55. 51. 51. 51. 51. 51. 51. 50.
 50. 50. 49. 49. 47. 47. 47. 47. 47. 47.]",-0.5453966072127939,105.08476245393523,0.18132451512692532
10767,10,0.01,2,opinion-timeseries,rep,6,3912,"[51. 53. 55. 55. 55. 54. 54. 54. 54. 54. 54. 54. 54. 54. 54. 54. 54. 53.
 53. 53. 53. 53. 54. 54. 54. 53. 52. 52. 52. 53. 55. 54. 53. 54. 54. 54.
 56. 55. 55. 54. 53. 55. 54. 54. 54. 53. 53. 52. 52. 52. 52. 52. 52. 50.
 50. 50. 49. 49. 48. 47. 47. 47. 45. 45.]",-0.4115113896188083,106.7022366213567,0.18352001395628292
10860,10,0.01,3,opinion-timeseries,rep,9,3746,"[50. 51. 52. 49. 49. 49. 49. 49. 52. 52. 52. 52. 52. 52. 52. 51. 51. 51.
 51. 51. 51. 52. 52. 52. 52. 51. 50. 52. 52. 54. 54. 54. 55. 55. 55. 55.
 55. 55. 54. 52. 52. 53. 53. 53. 53. 54. 52. 52. 52. 52. 52. 53. 53. 52.
 52. 51. 51. 51. 51. 50. 50. 50. 49. 49.]",0.4115997877070164,103.73238308262273,0.1836157650781232
5925,5,0.01,6,opinion-timeseries,rep,15,4906,"[55. 56. 56. 56. 56. 55. 54. 54. 54. 54. 54. 54. 54. 53. 53. 53. 53. 52.
 52. 52. 50. 50. 51. 51. 51. 50. 49. 51. 51. 53. 53. 54. 54. 55. 55. 55.
 58. 58. 58. 57. 57. 57. 57. 58. 58. 56. 54. 52. 52. 52. 52. 53. 53. 51.
 50. 50. 49. 49. 49. 47. 47. 47. 45. 45.]",-0.32819849568203374,106.15840663838166,0.18597245315946925
5460,5,0.01,1,opinion-timeseries,rep,0,1052,"[53. 54. 54. 54. 54. 54. 54. 54. 55. 55. 54. 54. 54. 54. 54. 53. 53. 53.
 53. 53. 53. 53. 54. 54. 54. 53. 50. 50. 50. 51. 53. 53. 52. 53. 53. 53.
 53. 51. 50. 50. 50. 52. 52. 52. 53. 51. 51. 50. 50. 50. 50. 52. 52. 52.
 52. 51. 50. 50. 50. 50. 50. 50. 48. 47.]",-0.6376867023980086,109.53304204668103,0.19108131106459236
