,ba_m,simple_spread_chance,group_homophily,repetition,pearson,euclidean,mape
0,3,0.01,0.1,0,-0.6774949559052899,254.2650351238486,0.38223918466061185
1,3,0.01,0.1,1,-0.715027807598248,250.72303901984193,0.37834316203314283
2,3,0.01,0.1,2,-0.7336761320673494,251.99426545503533,0.37933617600744657
3,3,0.01,0.1,3,-0.687844087657174,253.41990970333404,0.38176234971485284
4,3,0.01,0.1,4,-0.7150278968595242,255.98108768126122,0.38478487279193896
5,3,0.01,0.1,5,-0.6995785081487399,250.1580216754896,0.3763987412039906
6,3,0.01,0.1,6,-0.7858802640397214,252.66171665503308,0.37895819559653915
7,3,0.01,0.1,7,-0.6064264390741095,261.4005545012313,0.3997561833891952
8,3,0.01,0.1,8,-0.7677217064363365,241.16869630060032,0.3606854266852359
9,3,0.01,0.1,9,-0.7425333624878828,247.78028681668027,0.3719466691396798
10,3,0.01,0.25,0,-0.739992202046153,251.58241661646466,0.377748524604786
11,3,0.01,0.25,1,-0.7641876980028514,258.81343588390723,0.38860709366965657
12,3,0.01,0.25,2,-0.8555911753936426,239.21693869730257,0.35573728014342293
13,3,0.01,0.25,3,-0.6829339971503409,256.00203749558904,0.38648968774764764
14,3,0.01,0.25,4,-0.7122707676190821,260.02715147903666,0.39518778759848444
15,3,0.01,0.25,5,-0.7192021279030554,251.69176948413943,0.38022598555956516
16,3,0.01,0.25,6,-0.8182421073156938,236.41997709228613,0.3517740974690137
17,3,0.01,0.25,7,-0.7409962115458595,263.0875218943684,0.3979486885491265
18,3,0.01,0.25,8,-0.6936985842654542,250.61986948781976,0.3792329760033286
19,3,0.01,0.25,9,-0.8255001998693444,245.7782592138673,0.36588360033809614
20,3,0.01,0.5,0,-0.7579278232095975,240.39024727450138,0.358109686032388
21,3,0.01,0.5,1,-0.7400501288844682,246.67013258056167,0.36953642350015786
22,3,0.01,0.5,2,-0.8577117033801835,237.42023887887808,0.35016738529971053
23,3,0.01,0.5,3,-0.7649195799979239,253.76276837925494,0.38102607043345754
24,3,0.01,0.5,4,-0.7003267429985748,252.68341591994582,0.38129417931977433
25,3,0.01,0.5,5,-0.8001634531884744,239.27026770830003,0.3571495297656287
26,3,0.01,0.5,6,-0.7421058684384506,246.68949523737498,0.3730740974658164
27,3,0.01,0.5,7,-0.7742629672871978,243.99614847104343,0.3665792020163883
28,3,0.01,0.5,8,-0.7182701298885904,238.23304317619264,0.35533609659730797
29,3,0.01,0.5,9,-0.7406728992710558,248.3679310801153,0.3720313389661403
30,3,0.01,0.75,0,-0.6206990978047778,249.29317928634256,0.37513073662505514
31,3,0.01,0.75,1,-0.8092441997780145,250.11676681170965,0.37450024737241067
32,3,0.01,0.75,2,-0.7081943852587874,253.6927248884986,0.3812449297555334
33,3,0.01,0.75,3,-0.7684178803498237,259.0230898025937,0.39125745050040117
34,3,0.01,0.75,4,-0.7830704485943535,254.08205099644093,0.3808392898010169
