,ba_m,simple_spread_chance,group_homophily,repetition,pearson,euclidean,mape
248,5,0.01,0.1,8,-0.8144194809752238,233.81598257318217,0.3482578769918541
22,3,0.01,0.5,2,-0.8577117033801835,237.42023887887808,0.35016738529971053
16,3,0.01,0.25,6,-0.8182421073156938,236.41997709228613,0.3517740974690137
28,3,0.01,0.5,8,-0.7182701298885904,238.23304317619264,0.35533609659730797
12,3,0.01,0.25,2,-0.8555911753936426,239.21693869730257,0.35573728014342293
724,15,0.01,0.1,4,-0.7835150905373235,240.1951991198233,0.3563657031804639
252,5,0.01,0.25,2,-0.7065677436850515,238.70740146798025,0.35699369868269804
25,3,0.01,0.5,5,-0.8001634531884744,239.27026770830003,0.3571495297656287
501,10,0.01,0.5,1,-0.817020604971428,240.23459056619222,0.35810106104242
20,3,0.01,0.5,0,-0.7579278232095975,240.39024727450138,0.358109686032388
