,ba_m,simple_spread_chance,repetition,measure,pen_name,data,pearson,euclidean,mape
0,3,0.01,0,opinion-timeseries,dem,"[70.       70.       70.       68.2      67.26667  67.26667  67.26667
 67.63333  67.63333  67.23333  65.86667  64.9      64.36667  64.36667
 62.866665 62.866665 62.366665 62.366665 61.8      61.2      60.3
 60.3      59.333332 58.233334 57.1      55.633335 54.533333 54.533333
 54.166668 54.166668 54.166668 54.166668 54.166668 54.166668 53.733334
 54.433334 54.433334 54.733334 54.733334 54.733334 54.733334 54.733334
 53.733334 53.2      53.2      54.466667 55.433334 56.333332 57.1
 56.5      56.533333 55.2      53.866665 52.9      53.4      53.4
 53.4      52.766666 52.766666 52.766666 52.433334 52.366665 52.366665
 51.666668]",-0.9217248778883118,268.8916912576792,0.33763471755849983
1,3,0.01,0,opinion-timeseries,mod,"[51.       51.2      51.666668 50.233334 49.666668 49.666668 49.666668
 49.633335 50.166668 50.166668 49.833332 49.733334 49.733334 49.733334
 48.566666 47.833332 47.233334 47.233334 46.833332 46.566666 45.1
 45.5      45.7      44.666668 43.933334 43.3      42.7      43.366665
 43.366665 43.6      44.2      44.8      45.466667 46.       45.633335
 46.1      46.666668 46.766666 46.266666 45.866665 45.333332 45.6
 45.333332 45.933334 46.2      46.566666 47.233334 47.766666 47.366665
 46.966667 47.3      47.266666 46.466667 45.3      44.8      44.366665
 44.366665 44.       43.666668 43.666668 43.766666 43.766666 43.033333
 42.633335]",-0.7477603325162582,236.86948875837584,0.36143069159667895
2,3,0.01,0,opinion-timeseries,rep,"[47.       48.433334 49.       47.366665 47.3      46.366665 46.1
 45.7      46.2      46.666668 45.733334 45.7      45.633335 45.133335
 45.133335 44.766666 44.733334 43.933334 43.933334 43.933334 43.1
 43.7      44.533333 44.5      43.066666 41.733334 40.366665 41.233334
 41.233334 41.866665 42.7      42.633335 42.4      43.       43.
 43.033333 43.4      42.933334 42.033333 41.2      40.6      41.266666
 40.7      41.2      41.166668 40.966667 40.366665 39.6      38.866665
 38.866665 39.433334 40.233334 39.9      39.7      39.533333 39.2
 38.766666 38.7      38.233334 37.933334 37.933334 37.9      37.133335
 37.133335]",-0.8762304992828203,182.75808558145945,0.32172635629734964
3,3,0.01,1,opinion-timeseries,dem,"[65.       65.       65.       63.466667 62.9      62.9      62.9
 63.166668 63.166668 62.7      61.866665 61.133335 60.6      60.6
 59.7      59.7      59.1      59.1      58.5      57.833332 56.3
 56.3      55.6      54.366665 53.133335 51.866665 50.866665 50.866665
 50.5      50.5      50.5      50.5      50.5      50.5      50.166668
 50.766666 50.766666 51.266666 51.266666 51.266666 51.266666 51.033333
 49.666668 49.266666 49.266666 50.233334 51.466667 52.6      53.133335
 52.566666 52.566666 51.1      50.4      49.433334 49.833332 49.833332
 49.833332 49.366665 49.366665 49.366665 49.2      48.933334 48.933334
 48.433334]",-0.9119634165710445,296.16428554462436,0.3779333169334737
4,3,0.01,1,opinion-timeseries,mod,"[53.       53.4      53.766666 52.1      51.5      51.5      51.5
 51.5      51.833332 51.566666 50.766666 50.766666 50.733334 50.733334
 49.566666 49.233334 48.7      48.7      48.466667 47.866665 46.2
 46.633335 46.566666 45.766666 45.133335 44.3      43.3      43.8
 43.733334 44.5      45.033333 45.766666 46.133335 46.666668 46.133335
 46.8      47.2      47.333332 47.066666 46.866665 46.233334 46.466667
 45.966667 46.433334 46.333332 47.2      48.1      48.4      48.233334
 47.866665 48.733334 48.5      47.9      46.866665 46.466667 46.033333
 46.033333 45.466667 45.166668 45.166668 45.5      45.766666 44.933334
 44.566666]",-0.7909732636726167,228.69020093634998,0.34714020757942227
5,3,0.01,1,opinion-timeseries,rep,"[52.       53.2      53.6      51.966667 51.966667 50.333332 50.066666
 49.733334 50.333332 50.6      49.6      49.6      49.6      49.1
 49.1      48.6      48.6      47.666668 47.633335 47.633335 47.1
 47.666668 48.1      48.1      46.333332 45.133335 43.966667 44.4
 44.4      44.933334 45.566666 44.833332 44.2      44.933334 44.933334
 44.933334 45.366665 45.       44.333332 43.166668 42.2      42.833332
 42.033333 42.6      42.733334 41.866665 41.633335 41.3      40.2
 40.2      40.833332 42.233334 42.       41.433334 41.133335 40.833332
 40.3      40.233334 39.8      39.466667 39.533333 39.5      38.566666
 38.566666]",-0.9005931935396829,167.19628988991195,0.29009597549515936
6,3,0.01,2,opinion-timeseries,dem,"[67.       67.       67.       65.333336 64.7      64.7      64.7
 65.2      65.2      64.5      63.233334 62.6      61.7      61.7
 60.4      60.4      59.8      59.8      59.433334 58.833332 57.5
 57.5      56.766666 55.566666 54.6      53.566666 52.766666 52.766666
 52.2      52.2      52.2      52.2      52.2      52.2      51.8
 52.5      52.5      52.8      52.8      52.8      52.8      52.833332
 51.666668 51.033333 51.033333 52.366665 53.133335 54.2      55.166668
 54.666668 54.733334 53.533333 52.666668 51.4      51.833332 51.833332
 51.833332 51.3      51.3      51.3      51.333332 51.433334 51.433334
 50.733334]",-0.917427300751419,283.1175238630743,0.35948873372442874
7,3,0.01,2,opinion-timeseries,mod,"[38.       38.333332 38.9      38.466667 38.066666 38.066666 38.066666
 38.1      38.7      38.933334 38.633335 38.633335 38.633335 38.633335
 38.066666 37.866665 37.4      37.4      37.       36.6      35.533333
 36.166668 36.966667 35.933334 35.266666 34.166668 33.666668 34.366665
 34.366665 35.066666 35.7      36.1      36.8      37.433334 36.9
 37.3      37.866665 37.966667 37.533333 37.3      36.9      37.166668
 36.9      37.366665 37.5      38.2      39.266666 40.133335 40.033333
 39.666668 40.533333 40.566666 39.733334 39.1      38.766666 38.366665
 38.366665 37.933334 37.633335 37.633335 37.933334 38.133335 37.5
 37.166668]",-0.12191061439028247,300.9594242172418,0.484208757778211
8,3,0.01,2,opinion-timeseries,rep,"[46.       47.066666 47.5      45.933334 45.9      44.9      44.366665
 43.933334 44.266666 45.       44.033333 44.033333 44.033333 43.566666
 43.533333 43.2      43.2      42.2      42.2      42.2      41.9
 42.666668 43.166668 43.166668 41.766666 40.3      39.066666 39.5
 39.5      40.033333 40.9      40.6      40.266666 40.9      40.9
 40.9      41.466667 41.166668 40.366665 39.366665 38.633335 39.2
 38.9      39.566666 39.866665 39.066666 38.9      38.366665 37.533333
 37.533333 38.233334 39.3      38.7      38.4      38.033333 37.733334
 37.3      37.3      36.966667 36.6      36.6      36.666668 35.966667
 35.966667]",-0.8993639604170834,194.14759337790804,0.34389058470881984
9,3,0.01,3,opinion-timeseries,dem,"[64.       64.       64.       61.833332 61.133335 61.133335 61.133335
 61.466667 61.466667 60.833332 59.566666 59.033333 58.533333 58.533333
 57.066666 57.066666 56.666668 56.666668 55.933334 55.3      54.333332
 54.333332 53.766666 52.4      51.266666 50.266666 49.166668 49.166668
 48.633335 48.633335 48.633335 48.633335 48.633335 48.633335 48.266666
 48.833332 48.833332 49.366665 49.366665 49.366665 49.366665 49.366665
 48.266666 47.933334 47.933334 49.1      50.       51.1      51.933334
 51.266666 51.333332 50.3      49.3      48.366665 48.966667 48.966667
 48.966667 48.566666 48.566666 48.566666 48.333332 48.533333 48.533333
 47.933334]",-0.911042207277368,307.57006337230234,0.39613940545872606
