,er_p,simple_spread_chance,repetition,measure,pen_name,run,rand_id,data,pearson,euclidean,mape
5656,0.1,0.01,3,opinion-timeseries,rep,22,7798,"[59. 62. 62. 62. 62. 61. 61. 59. 59. 59. 59. 59. 59. 59. 59. 58. 58. 57.
 57. 57. 56. 57. 58. 58. 56. 56. 55. 56. 56. 56. 58. 59. 58. 58. 58. 58.
 58. 57. 54. 54. 53. 54. 54. 54. 54. 56. 56. 56. 54. 54. 56. 57. 57. 57.
 57. 55. 55. 55. 55. 55. 55. 55. 55. 55.]",-0.7784648585966092,84.56658500850082,0.15089315958519645
5480,0.1,0.01,1,opinion-timeseries,rep,26,9322,"[54. 57. 58. 58. 58. 58. 58. 58. 58. 58. 58. 58. 58. 58. 58. 57. 56. 56.
 56. 56. 56. 58. 60. 60. 58. 57. 54. 54. 54. 54. 56. 56. 56. 56. 56. 57.
 57. 57. 56. 53. 52. 53. 53. 53. 51. 51. 52. 51. 50. 50. 53. 54. 54. 53.
 53. 53. 53. 53. 53. 53. 53. 53. 51. 51.]",-0.6141517109692599,94.23899033839442,0.16159529749431567
16430,0.5,0.01,4,opinion-timeseries,rep,11,3428,"[55. 56. 57. 54. 54. 54. 54. 53. 55. 56. 56. 56. 56. 56. 56. 55. 55. 54.
 54. 54. 54. 54. 55. 53. 52. 51. 51. 51. 51. 52. 53. 53. 54. 55. 55. 55.
 56. 55. 55. 54. 54. 53. 52. 52. 52. 54. 54. 54. 53. 53. 53. 55. 53. 52.
 52. 52. 51. 51. 51. 51. 51. 51. 50. 50.]",-0.5261310093105858,99.73257892985619,0.17400262753104329
71,0.05,0.01,0,opinion-timeseries,rep,11,3336,"[51. 55. 55. 54. 54. 54. 54. 54. 56. 57. 57. 57. 56. 56. 56. 56. 56. 55.
 55. 55. 55. 55. 56. 56. 54. 54. 53. 53. 53. 53. 53. 51. 50. 51. 51. 51.
 51. 51. 49. 49. 48. 48. 48. 49. 49. 50. 50. 50. 50. 49. 49. 51. 51. 51.
 51. 51. 51. 51. 51. 51. 51. 51. 51. 51.]",-0.5951591830581755,110.02848403936135,0.18538173859018392
11320,0.25,0.01,6,opinion-timeseries,rep,22,8091,"[58. 58. 58. 56. 56. 56. 56. 56. 56. 58. 58. 58. 58. 56. 56. 54. 54. 53.
 53. 53. 53. 54. 56. 56. 54. 53. 53. 54. 54. 54. 54. 54. 53. 53. 53. 53.
 53. 52. 52. 50. 49. 50. 50. 50. 50. 54. 54. 55. 51. 51. 51. 54. 53. 52.
 52. 52. 52. 50. 49. 49. 49. 49. 48. 48.]",-0.7426246178720592,106.7819614916302,0.1858981516792887
11119,0.25,0.01,4,opinion-timeseries,rep,1,2896,"[52. 52. 52. 51. 51. 51. 51. 52. 54. 55. 53. 53. 53. 53. 53. 52. 51. 51.
 51. 51. 51. 52. 52. 52. 52. 50. 49. 50. 50. 51. 54. 54. 53. 53. 53. 53.
 55. 55. 55. 53. 53. 54. 54. 54. 53. 54. 53. 53. 51. 51. 51. 53. 53. 49.
 49. 49. 49. 49. 48. 47. 46. 46. 46. 46.]",-0.19025371434270422,110.92442156711927,0.19092247543973648
878,0.05,0.01,9,opinion-timeseries,rep,8,4853,"[53. 54. 54. 53. 53. 53. 53. 53. 55. 55. 54. 54. 54. 54. 54. 53. 53. 53.
 53. 53. 52. 52. 52. 52. 48. 48. 48. 50. 50. 50. 51. 51. 50. 51. 51. 52.
 53. 53. 53. 53. 53. 54. 51. 51. 53. 53. 50. 49. 49. 49. 50. 52. 52. 52.
 52. 52. 51. 51. 51. 51. 51. 51. 50. 50.]",-0.5197482800107406,110.0194860013443,0.19275830682502132
5725,0.1,0.01,4,opinion-timeseries,rep,1,1526,"[51. 53. 54. 56. 56. 56. 55. 55. 56. 56. 54. 54. 54. 54. 54. 52. 52. 51.
 51. 51. 51. 52. 52. 52. 52. 49. 49. 50. 50. 51. 53. 54. 53. 55. 55. 55.
 55. 55. 54. 54. 54. 55. 54. 54. 54. 54. 52. 51. 49. 49. 49. 49. 49. 48.
 48. 48. 48. 48. 48. 48. 48. 48. 46. 46.]",-0.49058208203351067,112.9217751365962,0.19625455687939675
5458,0.1,0.01,1,opinion-timeseries,rep,4,2533,"[54. 57. 59. 56. 56. 55. 54. 54. 54. 56. 56. 56. 56. 55. 55. 55. 55. 55.
 55. 55. 55. 55. 55. 55. 55. 52. 52. 52. 52. 52. 53. 52. 53. 54. 54. 54.
 55. 55. 55. 55. 55. 55. 54. 54. 52. 50. 48. 48. 48. 48. 48. 48. 48. 48.
 48. 47. 47. 46. 46. 45. 45. 45. 42. 42.]",-0.6499827637768629,117.7604657769321,0.19633567129025092
11142,0.25,0.01,4,opinion-timeseries,rep,24,8040,"[52. 54. 54. 54. 54. 52. 52. 50. 53. 53. 53. 53. 53. 52. 52. 51. 51. 50.
 50. 50. 50. 51. 51. 51. 48. 47. 44. 46. 46. 46. 46. 49. 50. 50. 50. 50.
 52. 52. 52. 52. 51. 52. 52. 54. 56. 57. 57. 55. 54. 54. 54. 56. 56. 56.
 53. 53. 53. 53. 51. 49. 49. 49. 48. 48.]",-0.0899588324320315,111.45082906824872,0.19909656762209835
