,er_p,simple_spread_chance,repetition,measure,pen_name,data,pearson,euclidean,mape
0,0.05,0.01,0,opinion-timeseries,dem,"[55.       55.       55.       53.5      52.9      52.9      52.9
 53.533333 53.533333 52.766666 51.6      50.933334 50.4      50.4
 49.366665 49.366665 48.9      48.9      48.366665 48.1      47.3
 47.3      46.9      46.       45.233334 44.533333 43.733334 43.733334
 43.366665 43.366665 43.366665 43.366665 43.366665 43.366665 43.1
 43.766666 43.766666 44.2      44.2      44.2      44.2      44.566666
 43.833332 43.5      43.5      44.466667 45.566666 46.8      47.833332
 47.266666 47.1      46.366665 45.466667 44.566666 45.133335 45.133335
 45.133335 44.733334 44.733334 44.733334 44.533333 44.9      44.9
 44.333332]",-0.8555936454320859,348.20634501640006,0.4639484712167642
1,0.05,0.01,0,opinion-timeseries,mod,"[36.       36.766666 37.3      36.466667 36.3      36.3      36.3
 36.366665 36.966667 37.233334 36.8      36.8      36.8      36.8
 36.166668 35.633335 35.1      35.066666 34.7      34.3      33.2
 34.       34.233334 33.666668 32.9      32.366665 31.766666 32.633335
 32.633335 33.133335 33.933334 34.333332 35.       35.533333 35.333332
 36.033333 36.766666 37.166668 36.766666 36.233334 35.866665 36.5
 36.033333 36.533333 36.833332 37.766666 38.733334 39.966667 40.
 39.466667 40.466667 40.433334 39.5      38.966667 38.366665 38.
 37.966667 37.8      37.233334 37.2      37.3      37.466667 36.566666
 36.266666]",0.06084883818265076,310.8804258048536,0.5027947659152889
2,0.05,0.01,0,opinion-timeseries,rep,"[51.       51.9      52.333332 50.8      50.8      49.566666 49.
 48.5      48.8      49.3      48.033333 48.       47.9      47.5
 47.466667 47.033333 46.966667 46.166668 46.133335 46.133335 45.833332
 46.5      46.7      46.666668 45.266666 43.9      42.266666 42.9
 42.866665 43.433334 43.8      43.533333 43.366665 44.033333 44.033333
 44.066666 44.7      44.066666 43.2      42.366665 41.666668 42.1
 41.733334 41.933334 41.933334 41.533333 40.533333 39.933334 39.066666
 39.033333 39.7      40.566666 40.166668 39.766666 39.4      39.1
 38.7      38.7      38.333332 37.833332 37.8      37.933334 37.333332
 37.333332]",-0.9030539491204365,176.11932365745662,0.3064715533945449
3,0.05,0.01,1,opinion-timeseries,dem,"[68.       68.       68.       66.066666 65.26667  65.26667  65.26667
 65.8      65.8      65.3      64.333336 63.633335 62.8      62.8
 61.1      61.1      60.366665 60.366665 59.833332 59.366665 58.5
 58.5      58.033333 56.666668 55.766666 54.366665 53.033333 53.033333
 52.3      52.3      52.3      52.3      52.3      52.3      51.8
 52.1      52.1      52.566666 52.566666 52.566666 52.566666 52.4
 51.       50.4      50.4      51.1      52.033333 53.3      54.2
 53.7      53.666668 52.8      51.9      50.533333 51.066666 51.066666
 51.066666 50.433334 50.433334 50.433334 50.333332 50.1      50.1
 49.566666]",-0.9293893945699194,284.95935630018187,0.3592924133702993
4,0.05,0.01,1,opinion-timeseries,mod,"[47.       47.4      48.066666 47.       46.666668 46.6      46.5
 46.566666 47.166668 47.466667 46.833332 46.8      46.766666 46.733334
 45.766666 45.333332 44.933334 44.866665 44.3      43.866665 42.633335
 43.133335 43.3      42.333332 41.4      40.6      39.633335 40.233334
 40.2      40.8      41.266666 41.9      42.233334 42.833332 42.4
 43.266666 43.866665 43.933334 43.6      42.966667 42.533333 42.7
 42.066666 42.566666 42.766666 43.566666 44.1      44.5      43.866665
 43.533333 44.       44.       43.1      42.2      41.833332 41.533333
 41.5      41.166668 40.633335 40.633335 41.066666 41.233334 40.466667
 40.      ]",-0.7358880848899507,258.85811633894133,0.400673487769014
5,0.05,0.01,1,opinion-timeseries,rep,"[36.       36.9      37.466667 36.566666 36.466667 35.733334 35.333332
 35.1      35.833332 36.333332 35.866665 35.866665 35.8      35.333332
 35.333332 35.066666 35.066666 34.533333 34.533333 34.533333 34.066666
 34.533333 35.233334 35.166668 34.066666 33.066666 32.       32.633335
 32.633335 33.1      33.866665 33.5      33.766666 34.466667 34.466667
 34.466667 35.133335 34.9      34.133335 33.233334 32.566666 33.1
 32.833332 33.333332 33.633335 33.233334 33.233334 32.933334 32.166668
 32.133335 32.966667 34.333332 34.066666 33.666668 33.3      32.7
 32.333332 32.3      31.666666 31.266666 31.233334 31.233334 30.5
 30.5     ]",-0.7880733700973035,242.97864107384117,0.45374675239046114
6,0.05,0.01,2,opinion-timeseries,dem,"[65.       65.       65.       62.966667 62.366665 62.366665 62.366665
 62.566666 62.566666 62.       60.9      60.433334 59.866665 59.866665
 58.366665 58.366665 57.6      57.6      57.233334 56.766666 55.7
 55.7      55.4      54.066666 53.166668 52.2      51.333332 51.333332
 50.8      50.8      50.8      50.8      50.8      50.8      50.233334
 50.633335 50.633335 51.233334 51.233334 51.233334 51.233334 51.033333
 49.966667 49.4      49.4      50.266666 51.066666 52.033333 53.166668
 52.6      52.5      51.666668 50.666668 49.866665 50.233334 50.233334
 50.233334 49.933334 49.933334 49.933334 49.766666 49.566666 49.566666
 49.033333]",-0.9280531556620266,296.1675163828119,0.3796041472745144
7,0.05,0.01,2,opinion-timeseries,mod,"[44.       44.5      45.166668 43.866665 43.333332 43.3      43.266666
 43.266666 43.7      43.666668 43.233334 43.233334 43.233334 43.233334
 41.9      41.433334 41.133335 41.066666 40.4      39.933334 38.9
 39.633335 39.566666 38.766666 38.       37.433334 36.266666 36.666668
 36.666668 37.233334 37.733334 38.433334 38.966667 39.566666 39.266666
 39.833332 40.7      40.966667 40.533333 39.966667 39.666668 39.666668
 39.366665 40.033333 40.333332 41.433334 42.133335 42.7      42.266666
 41.966667 42.633335 43.       42.066666 41.566666 41.2      40.866665
 40.833332 40.4      40.2      40.2      40.433334 40.366665 39.733334
 39.4     ]",-0.6062614533528419,278.2015975782047,0.43783122490784593
8,0.05,0.01,2,opinion-timeseries,rep,"[44.       45.333332 46.033333 45.2      45.2      44.466667 44.2
 43.9      44.5      45.166668 44.133335 44.066666 44.066666 43.533333
 43.5      43.066666 43.033333 42.533333 42.533333 42.533333 42.133335
 42.9      43.366665 43.333332 41.766666 40.666668 39.333332 39.933334
 39.9      40.466667 41.       41.       40.9      41.333332 41.333332
 41.333332 41.9      41.666668 41.066666 40.1      39.3      39.9
 39.633335 40.2      40.566666 40.066666 39.466667 38.566666 37.7
 37.7      38.3      39.333332 39.1      38.733334 38.4      37.9
 37.6      37.6      37.066666 36.666668 36.7      36.7      35.9
 35.9     ]",-0.8394670649039742,191.96133628939106,0.33946475019300504
9,0.05,0.01,3,opinion-timeseries,dem,"[55.       55.       55.       52.9      52.5      52.5      52.5
 52.866665 52.866665 52.5      51.066666 50.533333 50.166668 50.166668
 49.333332 49.333332 48.8      48.8      48.133335 47.766666 46.8
 46.8      45.933334 45.133335 43.966667 42.933334 41.933334 41.933334
 41.633335 41.633335 41.633335 41.633335 41.633335 41.633335 41.3
 42.       42.       42.2      42.2      42.2      42.2      42.2
 41.533333 40.966667 40.966667 42.133335 43.3      44.366665 45.4
 44.766666 44.6      43.533333 42.566666 41.666668 41.966667 41.966667
 41.966667 41.666668 41.666668 41.666668 41.933334 42.066666 42.066666
 41.7     ]",-0.8954987080202002,362.2907913442263,0.4808863718669397
