"id","post","native_id","article_account_id"
"1","For the 34 percent of Detroit residents who do not have access to a car — many of whom are health care workers, grocery store workers, and other essential staff moving around the city by public transport — Duggan says the city will place 20,000 masks for public use on buses beginning this week. A drive-thru testing location has also been opened in Detroit. ","1574583904","11"
"2","When it comes to food and the coronavirus, the biggest threat is person-to-person contact in grocery stores. If you can, use contactless delivery and tip generously; if you need to go to a physical store, wear a mask and stay six feet away from other shoppers. Always make sure to wash your hands after returning from the store or unpacking your delivered goods. And remember: The impact of not being a jerk to the people in the long chain of how your food ends up in your kitchen is much more significant than the potential threat of you getting the coronavirus from a box of cereal.","1574694239","11"
"3","We can spend time on the theoretical risks, and that’s what we’re doing in trying to answer all these questions, but it’s still very much a theoretical kind of thing. Why don’t we focus on why there are high-risk individuals that are going to the grocery store without masks on? That’s a real, real issue.","1574694239","11"
"4","Wearing a mask and standing behind plexiglass, Austrian Chancellor Sebastian Kurz addressed members of parliament on April 6 to present his plan for “a step-by-step resurrection” of the country’s economy. ","1574815927","11"
"5","People of color might also have less ability to implement public health recommendations; as Krieger notes, despite a recent CDC recommendation to wear masks when in public, many people of color are justifiably afraid of wearing a mask into a store and being seen as a threat. ","1575407645","11"
"6","“We have masks and social distancing,” Hutchinson told CNN. “And the people of Arkansas have embraced that.”","1576707908","11"
"7","It’s certainly possible that these steps will work — rigorous application of hand-washing, mask-wearing, school closures, and informal distancing could keep Arkansas safe, especially since few people are traveling these days. That said, the entire nation of Japan pursued this strategy, and while it seemed to be working for a while, it eventually led to a huge spike in cases. ","1576707908","11"
"8","Nobody likes to see price gouging during a crisis. But America has a shortage of critical medical supplies. And while it may be cheap to manufacture an N95 respirator mask once a factory is up and running, it costs quite a bit more to launch a whole new factory (or retool an existing one set up to make something else) than to recruit and train a new workforce. And people are especially unlikely to do that if they think excess demand is going to vanish in a year. ","1577038137","11"
"9","The federal government should identify a set of critical supplies — ventilators, respirator masks, face shields, disposable gloves, hand sanitizer, and hospital gowns seem like the big ones — and establish a large fund to offer zero-interest loans to finance retooling costs and to guarantee large purchases of these products at higher-than-normal prices. If this results in more supplies than needed, they could be given away to lower-income countries and stockpiled for future emergencies in the US. ","1577038137","11"
"10","As long as this pathogen is circulating in the background and we don’t have a vaccine and very effective therapeutics, this is going to alter the way we live and do business. Some of it is going to be subtle. You’ll see businesses advertising deep cleanings. People aren’t going to shake hands as much anymore. Wearing masks in public is going to become more fashionable in Western societies.","1577825238","11"
"11","I don’t know how much you can just create new manufacturing for some of these commodity products because the starting materials are the weak link in the supply chain. Even if you had extra manufacturing for, let’s say, N95 masks, the actual ingredient that goes into making those masks is manufactured outside the US — it would be hard to scale a new manufacturer for that. That’s what’s in shortage right now. ","1577825238","11"
"12","I think it’s going to be a gradual reintroduction of activity. You’ll probably lift the stay-at-home orders, but you’ll tell people to wear a mask if they go out for a period of time. You’ll allow certain businesses to go back to work, but you’ll tell businesses that they have to put certain restrictions in place to try to reduce the number of people who congregate together — basically maintain some social distancing in the workplace. You want to reduce human-to-human interaction as much as possible while having a functioning economy, allowing people to reengage in normal activity. ","1577825238","11"
"13","In unspoken hospital hierarchies, staff like Gourdine rank lower in the pecking order than doctors and advanced practice providers. They tend to receive safety information or personal protective equipment (PPE) like gowns, gloves, or masks later than providers do. Few expect to receive prioritized testing or expedited care should they require treatment. ","1578043911","11"
"14","Advocating for better protection has even gotten some staff punished. Thomas, the respiratory therapist, said that her “hospital has clamped down on the social media” and that posting pictures could “jeopardize [her] position at the hospital.” Jhonna Porter, a charge nurse at West Hills Hospital near Los Angeles, posted a Facebook plea for mask donations directly to the nurses’ association — not to the hospital administration. A few days later, she was suspended for an alleged violation of medical privacy laws. ","1578043911","11"
"15","West Hills Hospital disputed Porter’s interpretation. “The issue with Jhonna Porter arose when co-workers expressed concerns about her [sharing] specific information, including room numbers of possible COVID patients,” said West Hills Hospital in a statement. “Her later posts about masking and donations were not the issue.”","1578043911","11"
"16","Yet the country currently has the fourth-highest number of confirmed coronavirus cases and third-most deaths in the world. The country’s health care system is consistently ranked among the best in the world, yet France has experienced shortages of hospital beds, masks, and other critical products. As the number of confirmed cases and deaths continues to rise, popular food markets have been turned into makeshift morgues and high-speed trains have become Covid-19 patient transport vehicles. ","1578322433","11"
"17","“This moment, let’s be honest, has revealed cracks, shortages,” Macron said. “Like every country in the world, we have lacked gloves, hand gel, we haven’t been able to give out as many masks as we wanted to our health professionals.”","1578322433","11"
"18","The problem was compounded by a dearth of masks, leading the government to say only medical workers should wear them, not the general public. It turns out that, as France’s new Health Minister Olivier Véran (who took over in February after Buzyn abruptly resigned to run for mayor of Paris), told Parliament on March 19, France’s strategic supply of personal protective equipment wasn’t as robust as everyone had thought.","1578322433","11"
"19","“It was decided in 2011 and 2013 that there was no longer a need to keep massive stocks of masks, considering that factories could deliver quite quickly, namely in China,” Véran said, according to Politico.","1578322433","11"
"20","The Centers for Disease Control and Prevention (CDC), for instance, didn’t tell the country to stop gathering in groups until March 15 — weeks after a top CDC official announced that the virus would begin spreading throughout the US. And after telling Americans for months that they should not wear masks unless they are sick, the government formally flipped that advice on April 3 and said that everyone should wear some kind of covering on their face in certain public settings.","1579248961","11"
"21","For instance: While President Trump has been correctly pilloried for describing the coronavirus as less dangerous than the flu, that message was commonplace in mainstream media outlets throughout February. And journalists — including my colleagues at Vox — were dutifully repeating exhortations from public health officials not to wear masks for much of 2020.","1579248961","11"
"22","At first, many, including the surgeon general of the US, told the public that masks weren’t necessary and that health care workers needed the scarce supplies. People were told they wouldn’t be able to properly fit them, although several studies suggest that even a homemade mask is better than no mask. Finally, in mid-March, both the CDC and the WHO recommended wearing masks if you are sick. ","1579248945","11"
"23","Today, the CDC is recommending everyone wear a mask when out in public, while the WHO is standing by its recommendation to only wear one if sick or caring for someone else who is sick. “There is no specific evidence to suggest that the wearing of masks by the mass population has any potential benefit,” said Mike Ryan, the head of the WHO health emergencies team. Hong Kong health officials disagree; they have recommended everyone wear masks and say it has helped control the spread of Covid-19.","1579248945","11"
"24","Because this is a new virus, Gostin says, “Everyone has to operate in circumstances of scientific uncertainty. We have to do the best we can with the knowledge we have.” But new information is coming out every week about the virus’s transmissibility, including one notable report in early April that it can be aerosolized just by breathing and talking. (At this point, he, too, thinks widespread mask use is justified.) ","1579248945","11"
"25","For now, the best we have are educated opinions — no one yet has definitive data on SARS-CoV-2 transmission rates and mask-wearing. ","1579248945","11"
"26","I was used to being really busy, and it was nice to have some time to myself. I wrote, read, and did some painting, but I didn’t force myself to do anything. At night, I would go to my friend’s bar, which was closed to the public, and play games with him and a couple of other people. This was safe to do in Beijing because of the vast infrastructure that could be easily devoted solely to combating the spread of the virus. In order to ride public transport or enter certain public spaces, you have to wear a mask and not be running a fever. A security guard would usually take my temperature when I entered or left my residential compound or went to the store or got on the subway. ","1580012235","11"
