"id","article_id","attribute","code","confidence","session_id","datetime"
"71","4869","mw_independence_authority","2","7","68591",NULL
"72","4869","mw_comfort_breathe","2","7","68591",NULL
"73","4869","mw_independence_forced","2","7","68591",NULL
"74","4869","mw_attention_trust","2","7","68591",NULL
"75","4869","mw_attention_uncomfortable","2","7","68591",NULL
"76","4869","mw_appearance","2","7","68591",NULL
"77","4869","mw_compensation","2","7","68591",NULL
"78","4869","mw_access_cost","2","7","68591",NULL
"79","4869","mw_inconvenience_remember","2","7","68591",NULL
"80","4869","mw_inconvenience_hassle","2","7","68591",NULL
"81","4869","mw_efficacy_health","1","5","68591",NULL
"82","4869","mw_efficacy_eff","1","5","68591",NULL
"83","4869","mw_access_diff","2","7","68591",NULL
"84","4869","mw_comfort_hot","2","7","68591",NULL
"85","2338","mw_independence_authority","2","7","68591",NULL
"86","2338","mw_attention_uncomfortable","2","7","68591",NULL
"87","2338","mw_attention_trust","2","7","68591",NULL
"88","2338","mw_independence_forced","2","7","68591",NULL
"89","2338","mw_comfort_breathe","2","7","68591",NULL
"90","2338","mw_appearance","2","7","68591",NULL
"91","2338","mw_inconvenience_hassle","2","7","68591",NULL
"92","2338","mw_inconvenience_remember","2","7","68591",NULL
"93","2338","mw_compensation","2","7","68591",NULL
"94","2338","mw_comfort_hot","2","7","68591",NULL
"95","2338","mw_access_diff","0","5","68591",NULL
"96","2338","mw_efficacy_health","2","7","68591",NULL
"97","2338","mw_access_cost","2","7","68591",NULL
"98","2338","mw_efficacy_eff","2","7","68591",NULL
"99","1376","mw_independence_forced","2","7","68591",NULL
"100","1376","mw_comfort_breathe","2","7","68591",NULL
"101","1376","mw_attention_trust","2","7","68591",NULL
"102","1376","mw_attention_uncomfortable","2","7","68591",NULL
"103","1376","mw_independence_authority","2","7","68591",NULL
"104","1376","mw_inconvenience_hassle","2","7","68591",NULL
"105","1376","mw_appearance","2","7","68591",NULL
"106","1376","mw_compensation","2","7","68591",NULL
"107","1376","mw_inconvenience_remember","2","7","68591",NULL
"108","1376","mw_access_diff","2","7","68591",NULL
"109","1376","mw_efficacy_health","1","5","68591",NULL
"110","1376","mw_access_cost","2","7","68591",NULL
"111","1376","mw_efficacy_eff","1","5","68591",NULL
"112","1376","mw_comfort_hot","2","7","68591",NULL
"113","1277","mw_independence_authority","2","7","68591",NULL
"114","1277","mw_independence_forced","2","7","68591",NULL
"115","1277","mw_attention_uncomfortable","2","7","68591",NULL
"116","1277","mw_attention_trust","2","7","68591",NULL
"117","1277","mw_comfort_breathe","2","7","68591",NULL
"118","1277","mw_appearance","2","7","68591",NULL
"119","1277","mw_inconvenience_remember","2","7","68591",NULL
"120","1277","mw_compensation","2","7","68591",NULL
"121","1277","mw_access_cost","2","7","68591",NULL
"122","1277","mw_inconvenience_hassle","2","7","68591",NULL
"123","1277","mw_comfort_hot","2","7","68591",NULL
"124","1277","mw_access_diff","0","7","68591",NULL
"125","1277","mw_efficacy_health","2","7","68591",NULL
"126","1277","mw_efficacy_eff","2","7","68591",NULL
"127","6093","mw_independence_forced","0","7","68591",NULL
"128","6093","mw_attention_uncomfortable","1","4","68591",NULL
"129","6093","mw_comfort_breathe","2","7","68591",NULL
"130","6093","mw_inconvenience_hassle","2","7","68591",NULL
"131","6093","mw_attention_trust","2","7","68591",NULL
"132","6093","mw_independence_authority","0","5","68591",NULL
"133","6093","mw_appearance","2","7","68591",NULL
"134","6093","mw_access_diff","2","7","68591",NULL
"135","6093","mw_access_cost","2","7","68591",NULL
"136","6093","mw_efficacy_eff","2","7","68591",NULL
"137","6093","mw_inconvenience_remember","0","4","68591",NULL
"138","6093","mw_compensation","2","7","68591",NULL
"139","6093","mw_efficacy_health","2","7","68591",NULL
"140","6093","mw_comfort_hot","2","7","68591",NULL
"141","3043","mw_independence_forced","2","7","68591",NULL
"142","3043","mw_independence_authority","2","7","68591",NULL
"143","3043","mw_attention_trust","2","7","68591",NULL
"144","3043","mw_comfort_breathe","2","7","68591",NULL
"145","3043","mw_attention_uncomfortable","2","7","68591",NULL
"146","3043","mw_inconvenience_hassle","2","7","68591",NULL
"147","3043","mw_inconvenience_remember","2","7","68591",NULL
"148","3043","mw_compensation","2","7","68591",NULL
"149","3043","mw_access_cost","2","7","68591",NULL
"150","3043","mw_access_diff","2","7","68591",NULL
"151","3043","mw_appearance","2","7","68591",NULL
"152","3043","mw_efficacy_health","1","5","68591",NULL
"153","3043","mw_efficacy_eff","1","5","68591",NULL
"154","3043","mw_comfort_hot","2","7","68591",NULL
"155","7938","mw_comfort_hot","2","7","31521",NULL
"156","7938","mw_access_diff","2","7","31521",NULL
"157","7938","mw_efficacy_eff","1","6","31521",NULL
"158","7938","mw_access_cost","2","7","31521",NULL
"159","7938","mw_comfort_breathe","2","7","31521",NULL
"160","7938","mw_compensation","2","6","31521",NULL
"161","7938","mw_efficacy_health","1","7","31521",NULL
"162","7938","mw_inconvenience_remember","2","5","31521",NULL
"163","7938","mw_appearance","2","5","31521",NULL
"164","7938","mw_attention_trust","1","3","31521",NULL
"165","7938","mw_inconvenience_hassle","1","3","31521",NULL
"166","7938","mw_independence_authority","1","3","31521",NULL
"167","7938","mw_attention_uncomfortable","1","2","31521",NULL
"168","7938","mw_independence_forced","1","3","31521",NULL
"169","1199","mw_attention_uncomfortable","0","6","68591",NULL
"170","1199","mw_independence_authority","2","7","68591",NULL
"171","1199","mw_independence_forced","2","7","68591",NULL
